,.y.,group1,group2,p,p.adj,p.format,p.signif,method
1,Mean_Red_Norm,LN,C1DN,0.068122089,1,0.06812,ns,Wilcoxon
2,Mean_Red_Norm,LN,C1C4,0.763486317,1,0.76349,ns,Wilcoxon
3,Mean_Red_Norm,LN,HAFN,0.971899387,1,0.9719,ns,Wilcoxon
4,Mean_Red_Norm,LN,HAG3,1,1,1,ns,Wilcoxon
5,Mean_Red_Norm,LN,LNG3,0.487501269,1,0.4875,ns,Wilcoxon
6,Mean_Red_Norm,LN,TCDN,0.580513163,1,0.58051,ns,Wilcoxon
7,Mean_Red_Norm,LN,C4OPN,0.389767066,1,0.38977,ns,Wilcoxon
8,Mean_Red_Norm,LN,C1,0.84283599,1,0.84284,ns,Wilcoxon
9,Mean_Red_Norm,LN,OPNG3,0.418806537,1,0.41881,ns,Wilcoxon
10,Mean_Red_Norm,LN,C4,0.84283599,1,0.84284,ns,Wilcoxon
11,Mean_Red_Norm,LN,HAOPN,0.934490469,1,0.93449,ns,Wilcoxon
12,Mean_Red_Norm,LN,FN,0.629725504,1,0.62973,ns,Wilcoxon
13,Mean_Red_Norm,LN,OPNDN,0.339557666,1,0.33956,ns,Wilcoxon
14,Mean_Red_Norm,LN,OPNFN,0.805179387,1,0.80518,ns,Wilcoxon
15,Mean_Red_Norm,LN,LNDN,0.316040621,1,0.31604,ns,Wilcoxon
16,Mean_Red_Norm,LN,LNFN,0.261913319,1,0.26191,ns,Wilcoxon
17,Mean_Red_Norm,LN,C1G3,0.14474543,1,0.14475,ns,Wilcoxon
18,Mean_Red_Norm,LN,C4HA,0.787041132,1,0.78704,ns,Wilcoxon
19,Mean_Red_Norm,LN,G3FN,0.646685025,1,0.64669,ns,Wilcoxon
20,Mean_Red_Norm,LN,C4FN,0.715693892,1,0.71569,ns,Wilcoxon
21,Mean_Red_Norm,LN,C1OPN,0.281725269,1,0.28173,ns,Wilcoxon
22,Mean_Red_Norm,LN,DNFN,0.787041132,1,0.78704,ns,Wilcoxon
23,Mean_Red_Norm,LN,C4G3,0.733332244,1,0.73333,ns,Wilcoxon
24,Mean_Red_Norm,LN,LNHA,0.698201912,1,0.6982,ns,Wilcoxon
