,.y.,group1,group2,p,p.adj,p.format,p.signif,method
1,Mean_Red_Norm,LN,C1DN,0.031781361,1,0.03178,*,Wilcoxon
2,Mean_Red_Norm,LN,C1C4,0.971899387,1,0.9719,ns,Wilcoxon
3,Mean_Red_Norm,LN,HAFN,0.971899387,1,0.9719,ns,Wilcoxon
4,Mean_Red_Norm,LN,HAG3,0.787041132,1,0.78704,ns,Wilcoxon
5,Mean_Red_Norm,LN,LNG3,0.491921968,1,0.49192,ns,Wilcoxon
6,Mean_Red_Norm,LN,TCDN,0.971899387,1,0.9719,ns,Wilcoxon
7,Mean_Red_Norm,LN,C4OPN,0.629857967,1,0.62986,ns,Wilcoxon
8,Mean_Red_Norm,LN,C1,0.755284828,1,0.75528,ns,Wilcoxon
9,Mean_Red_Norm,LN,OPNG3,0.125764175,1,0.12576,ns,Wilcoxon
10,Mean_Red_Norm,LN,C4,0.241523788,1,0.24152,ns,Wilcoxon
11,Mean_Red_Norm,LN,HAOPN,0.769014545,1,0.76901,ns,Wilcoxon
12,Mean_Red_Norm,LN,FN,0.755284828,1,0.75528,ns,Wilcoxon
13,Mean_Red_Norm,LN,OPNDN,0.715693892,1,0.71569,ns,Wilcoxon
14,Mean_Red_Norm,LN,OPNFN,0.402972533,1,0.40297,ns,Wilcoxon
15,Mean_Red_Norm,LN,LNDN,0.188968125,1,0.18897,ns,Wilcoxon
16,Mean_Red_Norm,LN,LNFN,0.293590115,1,0.29359,ns,Wilcoxon
17,Mean_Red_Norm,LN,C1G3,0.180994475,1,0.18099,ns,Wilcoxon
18,Mean_Red_Norm,LN,C4HA,0.769014545,1,0.76901,ns,Wilcoxon
19,Mean_Red_Norm,LN,G3FN,0.84175442,1,0.84175,ns,Wilcoxon
20,Mean_Red_Norm,LN,C4FN,0.402972533,1,0.40297,ns,Wilcoxon
21,Mean_Red_Norm,LN,C1OPN,0.376821048,1,0.37682,ns,Wilcoxon
22,Mean_Red_Norm,LN,DNFN,0.733332244,1,0.73333,ns,Wilcoxon
23,Mean_Red_Norm,LN,C4G3,0.897221795,1,0.89722,ns,Wilcoxon
24,Mean_Red_Norm,LN,LNHA,0.715693892,1,0.71569,ns,Wilcoxon
25,Mean_Red_Norm,LN,G3,0.84283599,1,0.84284,ns,Wilcoxon
26,Mean_Red_Norm,LN,DNG3,0.84175442,1,0.84175,ns,Wilcoxon
27,Mean_Red_Norm,LN,C1LN,0.21439143,1,0.21439,ns,Wilcoxon
28,Mean_Red_Norm,LN,TCG3,0.84175442,1,0.84175,ns,Wilcoxon
29,Mean_Red_Norm,LN,TCFN,0.733332244,1,0.73333,ns,Wilcoxon
30,Mean_Red_Norm,LN,C1TC,0.084347247,1,0.08435,ns,Wilcoxon
31,Mean_Red_Norm,LN,C4LN,0.502440101,1,0.50244,ns,Wilcoxon
32,Mean_Red_Norm,LN,C1FN,0.14474543,1,0.14475,ns,Wilcoxon
33,Mean_Red_Norm,LN,C4TC,0.084347247,1,0.08435,ns,Wilcoxon
34,Mean_Red_Norm,LN,C4DN,0.580513163,1,0.58051,ns,Wilcoxon
35,Mean_Red_Norm,LN,TCOPN,0.823420279,1,0.82342,ns,Wilcoxon
36,Mean_Red_Norm,LN,TCHA,0.953182357,1,0.95318,ns,Wilcoxon
37,Mean_Red_Norm,LN,C1HA,0.430152095,1,0.43015,ns,Wilcoxon
38,Mean_Red_Norm,LN,LNTC,0.971899387,1,0.9719,ns,Wilcoxon
39,Mean_Red_Norm,LN,HA,0.880111946,1,0.88011,ns,Wilcoxon
40,Mean_Red_Norm,LN,HADN,0.769014545,1,0.76901,ns,Wilcoxon
41,Mean_Red_Norm,LN,LNOPN,0.376821048,1,0.37682,ns,Wilcoxon
42,Mean_Red_Norm,LN,TC,0.798745339,1,0.79875,ns,Wilcoxon
43,Mean_Red_Norm,LN,DN,0.477575258,1,0.47758,ns,Wilcoxon
44,Mean_Red_Norm,LN,OPN,0.755284828,1,0.75528,ns,Wilcoxon
45,Mean_Red_Norm,C1DN,C1C4,0.002349052,1,0.00235,**,Wilcoxon
46,Mean_Red_Norm,C1DN,HAFN,0.001924117,1,0.00192,**,Wilcoxon
47,Mean_Red_Norm,C1DN,HAG3,0.00670333,1,0.0067,**,Wilcoxon
48,Mean_Red_Norm,C1DN,LNG3,0.038435333,1,0.03844,*,Wilcoxon
49,Mean_Red_Norm,C1DN,TCDN,0.004337425,1,0.00434,**,Wilcoxon
50,Mean_Red_Norm,C1DN,C4OPN,0.027060353,1,0.02706,*,Wilcoxon
51,Mean_Red_Norm,C1DN,C1,0.03825985,1,0.03826,*,Wilcoxon
52,Mean_Red_Norm,C1DN,OPNG3,0.476831957,1,0.47683,ns,Wilcoxon
53,Mean_Red_Norm,C1DN,C4,0.487501269,1,0.4875,ns,Wilcoxon
54,Mean_Red_Norm,C1DN,HAOPN,0.015554988,1,0.01555,*,Wilcoxon
55,Mean_Red_Norm,C1DN,FN,0.026242035,1,0.02624,*,Wilcoxon
56,Mean_Red_Norm,C1DN,OPNDN,0.00320724,1,0.00321,**,Wilcoxon
57,Mean_Red_Norm,C1DN,OPNFN,0.175812937,1,0.17581,ns,Wilcoxon
58,Mean_Red_Norm,C1DN,LNDN,0.310101129,1,0.3101,ns,Wilcoxon
59,Mean_Red_Norm,C1DN,LNFN,0.175812937,1,0.17581,ns,Wilcoxon
60,Mean_Red_Norm,C1DN,C1G3,0.310101129,1,0.3101,ns,Wilcoxon
61,Mean_Red_Norm,C1DN,C4HA,0.00581127,1,0.00581,**,Wilcoxon
62,Mean_Red_Norm,C1DN,G3FN,0.020000451,1,0.02,*,Wilcoxon
63,Mean_Red_Norm,C1DN,C4FN,0.060482811,1,0.06048,ns,Wilcoxon
