"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","Mean_Red_Norm","LN","C1DN",0.00726576825342156,1,"0.00727","**","Wilcoxon"
"2","Mean_Red_Norm","LN","C1C4",0.24212025111204,1,"0.24212","ns","Wilcoxon"
"3","Mean_Red_Norm","LN","HAFN",0.416435054412203,1,"0.41644","ns","Wilcoxon"
"4","Mean_Red_Norm","LN","HAG3",0.878664793933871,1,"0.87866","ns","Wilcoxon"
"5","Mean_Red_Norm","LN","LNG3",0.125764175045543,1,"0.12576","ns","Wilcoxon"
"6","Mean_Red_Norm","LN","TCDN",0.646685024538501,1,"0.64669","ns","Wilcoxon"
"7","Mean_Red_Norm","LN","C4OPN",0.0338310517365999,1,"0.03383","*","Wilcoxon"
"8","Mean_Red_Norm","LN","C1",0.218920801906399,1,"0.21892","ns","Wilcoxon"
"9","Mean_Red_Norm","LN","OPNG3",0.580513163465157,1,"0.58051","ns","Wilcoxon"
"10","Mean_Red_Norm","LN","C4",0.218920801906399,1,"0.21892","ns","Wilcoxon"
"11","Mean_Red_Norm","LN","HAOPN",0.364136382051389,1,"0.36414","ns","Wilcoxon"
"12","Mean_Red_Norm","LN","FN",0.932300503373326,1,"0.93230","ns","Wilcoxon"
"13","Mean_Red_Norm","LN","OPNDN",0.564465734700691,1,"0.56447","ns","Wilcoxon"
"14","Mean_Red_Norm","LN","OPNFN",0.458337469330101,1,"0.45834","ns","Wilcoxon"
"15","Mean_Red_Norm","LN","LNDN",0.261913319396452,1,"0.26191","ns","Wilcoxon"
"16","Mean_Red_Norm","LN","LNFN",0.0719235729625051,1,"0.07192","ns","Wilcoxon"
"17","Mean_Red_Norm","LN","C1G3",0.0644827164559267,1,"0.06448","ns","Wilcoxon"
"18","Mean_Red_Norm","LN","C4HA",0.0888437968053283,1,"0.08884","ns","Wilcoxon"
"19","Mean_Red_Norm","LN","G3FN",0.125764175045543,1,"0.12576","ns","Wilcoxon"
"20","Mean_Red_Norm","LN","C4FN",0.119875252232211,1,"0.11988","ns","Wilcoxon"
"21","Mean_Red_Norm","LN","C1OPN",0.125764175045543,1,"0.12576","ns","Wilcoxon"
"22","Mean_Red_Norm","LN","DNFN",0.251884998557854,1,"0.25188","ns","Wilcoxon"
"23","Mean_Red_Norm","LN","C4G3",0.119875252232211,1,"0.11988","ns","Wilcoxon"
"24","Mean_Red_Norm","LN","LNHA",0.351714826888671,1,"0.35171","ns","Wilcoxon"
"25","Mean_Red_Norm","LN","G3",0.755284828242158,1,"0.75528","ns","Wilcoxon"
"26","Mean_Red_Norm","LN","DNG3",0.805179386797145,1,"0.80518","ns","Wilcoxon"
"27","Mean_Red_Norm","LN","C1LN",0.0843472474176863,1,"0.08435","ns","Wilcoxon"
"28","Mean_Red_Norm","LN","TCG3",0.447277525604421,1,"0.44728","ns","Wilcoxon"
"29","Mean_Red_Norm","LN","TCFN",0.458337469330101,1,"0.45834","ns","Wilcoxon"
"30","Mean_Red_Norm","LN","C1TC",0.180994475372405,1,"0.18099","ns","Wilcoxon"
"31","Mean_Red_Norm","LN","C4LN",0.158534614404342,1,"0.15853","ns","Wilcoxon"
"32","Mean_Red_Norm","LN","C1FN",0.158534614404342,1,"0.15853","ns","Wilcoxon"
"33","Mean_Red_Norm","LN","C4TC",0.0215353909976265,1,"0.02154","*","Wilcoxon"
"34","Mean_Red_Norm","LN","C4DN",0.205663926813061,1,"0.20566","ns","Wilcoxon"
"35","Mean_Red_Norm","LN","TCOPN",0.769014545046997,1,"0.76901","ns","Wilcoxon"
"36","Mean_Red_Norm","LN","TCHA",0.144745430386968,1,"0.14475","ns","Wilcoxon"
"37","Mean_Red_Norm","LN","C1HA",0.0644827164559267,1,"0.06448","ns","Wilcoxon"
"38","Mean_Red_Norm","LN","LNTC",0.646685024538501,1,"0.64669","ns","Wilcoxon"
"39","Mean_Red_Norm","LN","HA",0.629725504001988,1,"0.62973","ns","Wilcoxon"
"40","Mean_Red_Norm","LN","HADN",0.698201912318717,1,"0.69820","ns","Wilcoxon"
"41","Mean_Red_Norm","LN","LNOPN",0.0843472474176863,1,"0.08435","ns","Wilcoxon"
