"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","Mean_Green_Norm","LN","C1DN",0.0681220892364243,1,"0.0681","ns","Wilcoxon"
"2","Mean_Green_Norm","LN","C1C4",0.733332244321382,1,"0.7333","ns","Wilcoxon"
"3","Mean_Green_Norm","LN","HAFN",0.715693891923365,1,"0.7157","ns","Wilcoxon"
"4","Mean_Green_Norm","LN","HAG3",0.663689669649045,1,"0.6637","ns","Wilcoxon"
"5","Mean_Green_Norm","LN","LNG3",0.564465734700691,1,"0.5645","ns","Wilcoxon"
"6","Mean_Green_Norm","LN","TCDN",0.805179386797145,1,"0.8052","ns","Wilcoxon"
"7","Mean_Green_Norm","LN","C4OPN",0.487501269365729,1,"0.4875","ns","Wilcoxon"
"8","Mean_Green_Norm","LN","C1",0.442833179742589,1,"0.4428","ns","Wilcoxon"
"9","Mean_Green_Norm","LN","OPNG3",0.915833605877079,1,"0.9158","ns","Wilcoxon"
"10","Mean_Green_Norm","LN","C4",0.551167166391288,1,"0.5512","ns","Wilcoxon"
"11","Mean_Green_Norm","LN","HAOPN",0.860172477971753,1,"0.8602","ns","Wilcoxon"
"12","Mean_Green_Norm","LN","FN",0.932300503373326,1,"0.9323","ns","Wilcoxon"
"13","Mean_Green_Norm","LN","OPNDN",0.733332244321382,1,"0.7333","ns","Wilcoxon"
"14","Mean_Green_Norm","LN","OPNFN",0.533009039669929,1,"0.5330","ns","Wilcoxon"
"15","Mean_Green_Norm","LN","LNDN",0.502440101163289,1,"0.5024","ns","Wilcoxon"
"16","Mean_Green_Norm","LN","LNFN",0.251884998557854,1,"0.2519","ns","Wilcoxon"
"17","Mean_Green_Norm","LN","C1G3",0.151523959626979,1,"0.1515","ns","Wilcoxon"
"18","Mean_Green_Norm","LN","C4HA",0.327666039630636,1,"0.3277","ns","Wilcoxon"
"19","Mean_Green_Norm","LN","G3FN",0.304681951387248,1,"0.3047","ns","Wilcoxon"
"20","Mean_Green_Norm","LN","C4FN",0.733332244321382,1,"0.7333","ns","Wilcoxon"
"21","Mean_Green_Norm","LN","C1OPN",0.29359011485156,1,"0.2936","ns","Wilcoxon"
"22","Mean_Green_Norm","LN","DNFN",0.715693891923365,1,"0.7157","ns","Wilcoxon"
"23","Mean_Green_Norm","LN","C4G3",0.698201912318717,1,"0.6982","ns","Wilcoxon"
"24","Mean_Green_Norm","LN","LNHA",0.733332244321382,1,"0.7333","ns","Wilcoxon"
"25","Mean_Green_Norm","LN","G3",0.932300503373326,1,"0.9323","ns","Wilcoxon"
"26","Mean_Green_Norm","LN","DNG3",0.564465734700691,1,"0.5645","ns","Wilcoxon"
"27","Mean_Green_Norm","LN","C1LN",0.272206336946999,1,"0.2722","ns","Wilcoxon"
"28","Mean_Green_Norm","LN","TCG3",0.404969369421127,1,"0.4050","ns","Wilcoxon"
"29","Mean_Green_Norm","LN","TCFN",0.860172477971753,1,"0.8602","ns","Wilcoxon"
"30","Mean_Green_Norm","LN","C1TC",0.327666039630636,1,"0.3277","ns","Wilcoxon"
"31","Mean_Green_Norm","LN","C4LN",0.629857967489692,1,"0.6299","ns","Wilcoxon"
"32","Mean_Green_Norm","LN","C1FN",0.316040621352718,1,"0.3160","ns","Wilcoxon"
"33","Mean_Green_Norm","LN","C4TC",0.214391429733039,1,"0.2144","ns","Wilcoxon"
"34","Mean_Green_Norm","LN","C4DN",0.934490469322327,1,"0.9345","ns","Wilcoxon"
"35","Mean_Green_Norm","LN","TCOPN",0.878664793933871,1,"0.8787","ns","Wilcoxon"
"36","Mean_Green_Norm","LN","TCHA",0.351714826888671,1,"0.3517","ns","Wilcoxon"
"37","Mean_Green_Norm","LN","C1HA",0.327666039630636,1,"0.3277","ns","Wilcoxon"
"38","Mean_Green_Norm","LN","LNTC",0.823420278524008,1,"0.8234","ns","Wilcoxon"
"39","Mean_Green_Norm","LN","HA",0.798745338656498,1,"0.7987","ns","Wilcoxon"
"40","Mean_Green_Norm","LN","HADN",0.990631436257643,1,"0.9906","ns","Wilcoxon"
"41","Mean_Green_Norm","LN","LNOPN",0.24212025111204,1,"0.2421","ns","Wilcoxon"
"42","Mean_Green_Norm","LN","TC",0.442833179742589,1,"0.4428","ns","Wilcoxon"
"43","Mean_Green_Norm","LN","DN",0.712535075639127,1,"0.7125","ns","Wilcoxon"
"44","Mean_Green_Norm","LN","OPN",0.589875732021377,1,"0.5899","ns","Wilcoxon"
"45","Mean_Green_Norm","C1DN","C1C4",0.0923528887772228,1,"0.0924","ns","Wilcoxon"
"46","Mean_Green_Norm","C1DN","HAFN",0.0476577787184141,1,"0.0477","*","Wilcoxon"
"47","Mean_Green_Norm","C1DN","HAG3",0.0112236927939186,1,"0.0112","*","Wilcoxon"
"48","Mean_Green_Norm","C1DN","LNG3",0.106355218307379,1,"0.1064","ns","Wilcoxon"
"49","Mean_Green_Norm","C1DN","TCDN",0.0182194656301393,1,"0.0182","*","Wilcoxon"
"50","Mean_Green_Norm","C1DN","C4OPN",0.206498096481519,1,"0.2065","ns","Wilcoxon"
"51","Mean_Green_Norm","C1DN","C1",0.214391429733039,1,"0.2144","ns","Wilcoxon"
"52","Mean_Green_Norm","C1DN","OPNG3",0.0404301870643427,1,"0.0404","*","Wilcoxon"
"53","Mean_Green_Norm","C1DN","C4",0.28276506931617,1,"0.2828","ns","Wilcoxon"
"54","Mean_Green_Norm","C1DN","HAOPN",0.0254993501684096,1,"0.0255","*","Wilcoxon"
"55","Mean_Green_Norm","C1DN","FN",0.0843472474176863,1,"0.0843","ns","Wilcoxon"
"56","Mean_Green_Norm","C1DN","OPNDN",0.00885879389388237,1,"0.0089","**","Wilcoxon"
"57","Mean_Green_Norm","C1DN","OPNFN",0.172226911749023,1,"0.1722","ns","Wilcoxon"
"58","Mean_Green_Norm","C1DN","LNDN",0.320961235546248,1,"0.3210","ns","Wilcoxon"
"59","Mean_Green_Norm","C1DN","LNFN",0.385008497472917,1,"0.3850","ns","Wilcoxon"
"60","Mean_Green_Norm","C1DN","C1G3",0.571703600441235,1,"0.5717","ns","Wilcoxon"
"61","Mean_Green_Norm","C1DN","C4HA",0.186900464044604,1,"0.1869","ns","Wilcoxon"
"62","Mean_Green_Norm","C1DN","G3FN",0.354993942917983,1,"0.3550","ns","Wilcoxon"
"63","Mean_Green_Norm","C1DN","C4FN",0.0574125682954516,1,"0.0574","ns","Wilcoxon"
