,Metadata_Stiffness,Condition,Metadata_Treatment,Mean_PXR,Mean_Vim,Mean_Ecad,Rank_PXR,Rank_Vim,Rank_Ecad,
1,1kPa,100C1,10 uM,0.122468303,0.101439413,0.044269834,,,,
454,25kPa,75OPN_25DN,DMSO,0.148805669,0.198748065,0.055342413,150,1,279,
3,1kPa,100C4,10 uM,0.129950591,0.110365952,0.058760713,,,,
292,25kPa,25HA_75FN,DMSO,0.195637383,0.184956203,0.097122526,15,3,54,
5,1kPa,100DN,10 uM,0.147662121,0.080638536,0.040425946,,,,
248,25kPa,100LN,DMSO,0.149923132,0.184062864,0.063975137,143,4,223,
7,1kPa,100FN,10 uM,0.12965951,0.101467342,0.034258014,,,,
448,25kPa,75LN_25HA,DMSO,0.192876554,0.162391488,0.084485922,20,5,120,
9,1kPa,100G3,10 uM,0.126033501,0.081144789,0.044197316,,,,
446,25kPa,75LN_25G3,DMSO,0.194844544,0.162167966,0.098150603,16,6,53,
11,1kPa,100HA,10 uM,0.122747175,0.097603705,0.035602598,,,,
374,25kPa,50LN_50G3,DMSO,0.167805798,0.161445559,0.069920745,66,7,195,
13,1kPa,100LN,10 uM,0.106265508,0.111312726,0.035242306,,,,
302,25kPa,25LN_75G3,DMSO,0.1988616,0.161179994,0.08184515,13,8,140,
15,1kPa,100OPN,10 uM,0.143145166,0.079677274,0.049060547,,,,
442,25kPa,75LN_25DN,DMSO,0.203892993,0.160824099,0.102773373,9,9,35,
17,1kPa,100TC,10 uM,0.116993776,0.077084941,0.033559272,,,,
396,25kPa,50TC_50OPN,DMSO,0.134880243,0.157097252,0.066421979,245,10,208,
19,1kPa,25C1_75C4,10 uM,0.105812127,0.086123598,0.041780892,,,,
298,25kPa,25LN_75DN,DMSO,0.17072077,0.156891759,0.087796622,57,11,100,
21,1kPa,25C1_75DN,10 uM,0.154695555,0.091682407,0.061199161,,,,
220,1kPa,75OPN_25DN,DMSO,0.203559373,0.156867212,0.108640904,10,12,21,
23,1kPa,25C1_75FN,10 uM,0.128166475,0.088300918,0.042270526,,,,
384,25kPa,50OPN_50FN,DMSO,0.170366307,0.15643482,0.087471154,58,13,105,
25,1kPa,25C1_75G3,10 uM,0.148172666,0.109078165,0.056050459,,,,
244,25kPa,100G3,DMSO,0.137590225,0.15548431,0.064125974,233,14,218,
27,1kPa,25C1_75HA,10 uM,0.150005371,0.083198581,0.055661791,,,,
14,1kPa,100LN,DMSO,0.18586204,0.154073627,0.102112618,29,16,38,
29,1kPa,25C1_75LN,10 uM,0.145453334,0.089460611,0.054442928,,,,
208,1kPa,75LN_25DN,DMSO,0.208670856,0.148307297,0.102864443,4,17,34,
31,1kPa,25C1_75OPN,10 uM,0.170188691,0.093633624,0.059228093,,,,
388,25kPa,50TC_50DN,DMSO,0.154919315,0.147625181,0.083320614,120,18,130,
33,1kPa,25C1_75TC,10 uM,0.130309433,0.09358615,0.050953403,,,,
394,25kPa,50TC_50HA,DMSO,0.145719313,0.147232694,0.064688151,179,19,217,
35,1kPa,25C4_75DN,10 uM,0.126001474,0.074639967,0.047240346,,,,
246,25kPa,100HA,DMSO,0.161225974,0.145754473,0.077411293,97,20,164,
37,1kPa,25C4_75FN,10 uM,0.131326655,0.081160874,0.054141909,,,,
204,1kPa,75HA_25G3,DMSO,0.166324482,0.145440983,0.086347118,75,21,112,
39,1kPa,25C4_75G3,10 uM,0.153854018,0.097296724,0.064118387,,,,
260,25kPa,25C1_75G3,DMSO,0.159566066,0.144582419,0.085731794,103,22,115,
41,1kPa,25C4_75HA,10 uM,0.109752197,0.073989123,0.042671812,,,,
438,25kPa,75HA_25G3,DMSO,0.149025844,0.143674458,0.065485875,146,23,215,
43,1kPa,25C4_75LN,10 uM,0.133752837,0.085850297,0.05008803,,,,
160,1kPa,50TC_50HA,DMSO,0.146183033,0.142382302,0.078191963,176,24,159,
45,1kPa,25C4_75OPN,10 uM,0.130953162,0.081694063,0.052864127,,,,
314,25kPa,25OPN_75G3,DMSO,0.185596691,0.140640689,0.084186327,31,25,122,
47,1kPa,25C4_75TC,10 uM,0.163648631,0.091638967,0.064104322,,,,
386,25kPa,50OPN_50G3,DMSO,0.150892013,0.135848348,0.093866605,139,27,70,
49,1kPa,25DN_75FN,10 uM,0.132349843,0.071633163,0.046164206,,,,
162,1kPa,50TC_50OPN,DMSO,0.15601026,0.135110195,0.089558894,109,29,84,
51,1kPa,25DN_75G3,10 uM,0.155087372,0.095427531,0.058282631,,,,
400,25kPa,75C1_25DN,DMSO,0.161534923,0.135070932,0.09611199,95,30,56,
53,1kPa,25G3_75FN,10 uM,0.136842562,0.082899212,0.047783085,,,,
238,25kPa,100C4,DMSO,0.126029079,0.133800499,0.077807338,322,31,162,
55,1kPa,25HA_75DN,10 uM,0.116776133,0.076746864,0.042513848,,,,
12,1kPa,100HA,DMSO,0.155000012,0.132075193,0.08069205,119,33,145,
57,1kPa,25HA_75FN,10 uM,0.148134782,0.154916297,0.05519092,,,,
382,25kPa,50OPN_50DN,DMSO,0.152460824,0.131397271,0.077509995,132,34,163,
