Abb_ECM,ECM1,ECM2
C1,C1,
C1C4,C1,C4
C1DN,C1,DN
C1FN,C1,FN
C1G3,C1,G3
C1HA,C1,HA
C1LN,C1,LN
C1OPN,C1,OPN
C1TC,C1,TC
C4,C4,
C4DN,C4,DN
C4FN,C4,FN
C4G3,C4,G3
C4HA,C4,HA
C4LN,C4,LN
C4OPN,C4,OPN
C4TC,C4,TC
DN,DN,
DNFN,DN,FN
DNG3,DN,G3
FN,FN,FN
G3,G3,G3
G3FN,G3,FN
HA,HA,
HADN,HA,DN
HAFN,HA,FN
HAG3,HA,G3
HAOPN,HA,OPN
LN,LN,
LNDN,LN,DN
LNFN,LN,FN
LNG3,LN,G3
LNHA,LN,HA
LNOPN,LN,OPN
LNTC,LN,TC
OPN,OPN,
OPNDN,OPN,DN
OPNFN,OPN,FN
OPNG3,OPN,G3
TC,TC,
TCDN,TC,DN
TCFN,TC,FN
TCG3,TC,G3
TCHA,TC,HA
TCOPN,TC,OPN
,,
