"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","Mean_Orange_Norm","LN","C1DN",0.061000739666083,1,"0.06100","ns","Wilcoxon"
"2","Mean_Orange_Norm","LN","C1C4",0.00244882598200334,1,"0.00245","**","Wilcoxon"
"3","Mean_Orange_Norm","LN","HAFN",0.061000739666083,1,"0.06100","ns","Wilcoxon"
"4","Mean_Orange_Norm","LN","HAG3",0.0888437968053283,1,"0.08884","ns","Wilcoxon"
"5","Mean_Orange_Norm","LN","LNG3",0.389767066228048,1,"0.38977","ns","Wilcoxon"
"6","Mean_Orange_Norm","LN","TCDN",0.0298359539191218,1,"0.02984","*","Wilcoxon"
"7","Mean_Orange_Norm","LN","C4OPN",0.0114519296565146,1,"0.01145","*","Wilcoxon"
"8","Mean_Orange_Norm","LN","C1",0.100530442770314,1,"0.10053","ns","Wilcoxon"
"9","Mean_Orange_Norm","LN","OPNG3",0.13489153609678,1,"0.13489","ns","Wilcoxon"
"10","Mean_Orange_Norm","LN","C4",0.159973019308058,1,"0.15997","ns","Wilcoxon"
"11","Mean_Orange_Norm","LN","HAOPN",0.0431560420347437,1,"0.04316","*","Wilcoxon"
"12","Mean_Orange_Norm","LN","FN",0.0780243447493414,1,"0.07802","ns","Wilcoxon"
"13","Mean_Orange_Norm","LN","OPNDN",0.0888437968053283,1,"0.08884","ns","Wilcoxon"
"14","Mean_Orange_Norm","LN","OPNFN",0.0544904763533342,1,"0.05449","ns","Wilcoxon"
"15","Mean_Orange_Norm","LN","LNDN",0.458337469330101,1,"0.45834","ns","Wilcoxon"
"16","Mean_Orange_Norm","LN","LNFN",0.0544904763533342,1,"0.05449","ns","Wilcoxon"
"17","Mean_Orange_Norm","LN","C1G3",0.0719235729625051,1,"0.07192","ns","Wilcoxon"
"18","Mean_Orange_Norm","LN","C4HA",0.0245857075231968,1,"0.02459","*","Wilcoxon"
"19","Mean_Orange_Norm","LN","G3FN",0.0142288423830032,1,"0.01423","*","Wilcoxon"
"20","Mean_Orange_Norm","LN","C4FN",0.0034747159510179,1,"0.00347","**","Wilcoxon"
"21","Mean_Orange_Norm","LN","C1OPN",0.0579491567055671,1,"0.05795","ns","Wilcoxon"
"22","Mean_Orange_Norm","LN","DNFN",0.0106363270256584,1,"0.01064","*","Wilcoxon"
"23","Mean_Orange_Norm","LN","C4G3",0.00267491787250954,1,"0.00267","**","Wilcoxon"
"24","Mean_Orange_Norm","LN","LNHA",0.0800314813362553,1,"0.08003","ns","Wilcoxon"
"25","Mean_Orange_Norm","LN","G3",0.291342659225281,1,"0.29134","ns","Wilcoxon"
"26","Mean_Orange_Norm","LN","DNG3",0.0201341058874188,1,"0.02013","*","Wilcoxon"
"27","Mean_Orange_Norm","LN","C1LN",0.0052792850719278,1,"0.00528","**","Wilcoxon"
"28","Mean_Orange_Norm","LN","TCG3",0.0215353909976265,1,"0.02154","*","Wilcoxon"
"29","Mean_Orange_Norm","LN","TCFN",0.0245857075231968,1,"0.02459","*","Wilcoxon"
"30","Mean_Orange_Norm","LN","C1TC",0.0382598499646109,1,"0.03826","*","Wilcoxon"
"31","Mean_Orange_Norm","LN","C4LN",0.00115943610148857,1,"0.00116","**","Wilcoxon"
"32","Mean_Orange_Norm","LN","C1FN",0.0298359539191218,1,"0.02984","*","Wilcoxon"
"33","Mean_Orange_Norm","LN","C4TC",0.0034747159510179,1,"0.00347","**","Wilcoxon"
"34","Mean_Orange_Norm","LN","C4DN",0.000703107426818336,0.69,"0.00070","***","Wilcoxon"
"35","Mean_Orange_Norm","LN","TCOPN",0.0485543700298984,1,"0.04855","*","Wilcoxon"
"36","Mean_Orange_Norm","LN","TCHA",0.125764175045543,1,"0.12576","ns","Wilcoxon"
"37","Mean_Orange_Norm","LN","C1HA",0.0142288423830032,1,"0.01423","*","Wilcoxon"
"38","Mean_Orange_Norm","LN","LNTC",0.0163839380678272,1,"0.01638","*","Wilcoxon"
"39","Mean_Orange_Norm","LN","HA",0.477575258232143,1,"0.47758","ns","Wilcoxon"
"40","Mean_Orange_Norm","LN","HADN",0.0163839380678272,1,"0.01638","*","Wilcoxon"
"41","Mean_Orange_Norm","LN","LNOPN",0.0382598499646109,1,"0.03826","*","Wilcoxon"
"42","Mean_Orange_Norm","LN","TC",0.0284206976224744,1,"0.02842","*","Wilcoxon"
"43","Mean_Orange_Norm","LN","DN",0.0144925070890881,1,"0.01449","*","Wilcoxon"
"44","Mean_Orange_Norm","LN","OPN",0.0518646113611789,1,"0.05186","ns","Wilcoxon"
"45","Mean_Orange_Norm","C1DN","C1C4",0.137049414036713,1,"0.13705","ns","Wilcoxon"
"46","Mean_Orange_Norm","C1DN","HAFN",0.82723098755764,1,"0.82723","ns","Wilcoxon"
"47","Mean_Orange_Norm","C1DN","HAG3",0.642179801625858,1,"0.64218","ns","Wilcoxon"
"48","Mean_Orange_Norm","C1DN","LNG3",0.053048023264557,1,"0.05305","ns","Wilcoxon"
"49","Mean_Orange_Norm","C1DN","TCDN",0.906453353579042,1,"0.90645","ns","Wilcoxon"
"50","Mean_Orange_Norm","C1DN","C4OPN",0.337705673775654,1,"0.33771","ns","Wilcoxon"
"51","Mean_Orange_Norm","C1DN","C1",0.823420278524008,1,"0.82342","ns","Wilcoxon"
"52","Mean_Orange_Norm","C1DN","OPNG3",0.143278302412637,1,"0.14328","ns","Wilcoxon"
"53","Mean_Orange_Norm","C1DN","C4",0.915833605877079,1,"0.91583","ns","Wilcoxon"
"54","Mean_Orange_Norm","C1DN","HAOPN",0.977679233917821,1,"0.97768","ns","Wilcoxon"
"55","Mean_Orange_Norm","C1DN","FN",0.733332244321382,1,"0.73333","ns","Wilcoxon"
"56","Mean_Orange_Norm","C1DN","OPNDN",0.906453353579042,1,"0.90645","ns","Wilcoxon"
"57","Mean_Orange_Norm","C1DN","OPNFN",1,1,"1.00000","ns","Wilcoxon"
"58","Mean_Orange_Norm","C1DN","LNDN",0.0427300029844377,1,"0.04273","*","Wilcoxon"
"59","Mean_Orange_Norm","C1DN","LNFN",0.977679233917821,1,"0.97768","ns","Wilcoxon"
"60","Mean_Orange_Norm","C1DN","C1G3",0.579352443925653,1,"0.57935","ns","Wilcoxon"
"61","Mean_Orange_Norm","C1DN","C4HA",0.724372501457536,1,"0.72437","ns","Wilcoxon"
"62","Mean_Orange_Norm","C1DN","G3FN",0.304761991314993,1,"0.30476","ns","Wilcoxon"
"63","Mean_Orange_Norm","C1DN","C4FN",0.0489608009586377,1,"0.04896","*","Wilcoxon"
"64","Mean_Orange_Norm","C1DN","C1OPN",0.63516149829847,1,"0.63516","ns","Wilcoxon"
"65","Mean_Orange_Norm","C1DN","DNFN",0.236346286935222,1,"0.23635","ns","Wilcoxon"
"66","Mean_Orange_Norm","C1DN","C4G3",0.0604828106573747,1,"0.06048","ns","Wilcoxon"
"67","Mean_Orange_Norm","C1DN","LNHA",0.724372501457536,1,"0.72437","ns","Wilcoxon"
