,.y.,group1,group2,p,p.adj,p.format,p.signif,method
1,Mean_Orange_Norm,LN,C1DN,0.03825985,1,0.03826,*,Wilcoxon
2,Mean_Orange_Norm,LN,C1C4,0.005725213,1,0.00573,**,Wilcoxon
3,Mean_Orange_Norm,LN,HAFN,0.024585708,1,0.02459,*,Wilcoxon
4,Mean_Orange_Norm,LN,HAG3,0.068122089,1,0.06812,ns,Wilcoxon
5,Mean_Orange_Norm,LN,LNG3,0.250191702,1,0.25019,ns,Wilcoxon
6,Mean_Orange_Norm,LN,TCDN,0.045790241,1,0.04579,*,Wilcoxon
7,Mean_Orange_Norm,LN,C4OPN,0.003474716,1,0.00347,**,Wilcoxon
8,Mean_Orange_Norm,LN,C1,0.020489203,1,0.02049,*,Wilcoxon
9,Mean_Orange_Norm,LN,OPNG3,0.402972533,1,0.40297,ns,Wilcoxon
10,Mean_Orange_Norm,LN,C4,0.377685311,1,0.37769,ns,Wilcoxon
11,Mean_Orange_Norm,LN,HAOPN,0.088843797,1,0.08884,ns,Wilcoxon
12,Mean_Orange_Norm,LN,FN,0.100530443,1,0.10053,ns,Wilcoxon
13,Mean_Orange_Norm,LN,OPNDN,0.088843797,1,0.08884,ns,Wilcoxon
14,Mean_Orange_Norm,LN,OPNFN,0.197190327,1,0.19719,ns,Wilcoxon
15,Mean_Orange_Norm,LN,LNDN,0.364136382,1,0.36414,ns,Wilcoxon
16,Mean_Orange_Norm,LN,LNFN,0.033831052,1,0.03383,*,Wilcoxon
17,Mean_Orange_Norm,LN,C1G3,0.035989167,1,0.03599,*,Wilcoxon
18,Mean_Orange_Norm,LN,C4HA,0.071923573,1,0.07192,ns,Wilcoxon
19,Mean_Orange_Norm,LN,G3FN,0.01881071,1,0.01881,*,Wilcoxon
20,Mean_Orange_Norm,LN,C4FN,0.009154036,1,0.00915,**,Wilcoxon
21,Mean_Orange_Norm,LN,C1OPN,0.064482716,1,0.06448,ns,Wilcoxon
22,Mean_Orange_Norm,LN,DNFN,0.004863995,1,0.00486,**,Wilcoxon
23,Mean_Orange_Norm,LN,C4G3,0.001159436,1,0.00116,**,Wilcoxon
24,Mean_Orange_Norm,LN,LNHA,0.040647383,1,0.04065,*,Wilcoxon
25,Mean_Orange_Norm,LN,G3,0.020489203,1,0.02049,*,Wilcoxon
26,Mean_Orange_Norm,LN,DNG3,0.024585708,1,0.02459,*,Wilcoxon
27,Mean_Orange_Norm,LN,C1LN,0.002674918,1,0.00267,**,Wilcoxon
28,Mean_Orange_Norm,LN,TCG3,0.009154036,1,0.00915,**,Wilcoxon
29,Mean_Orange_Norm,LN,TCFN,0.023018047,1,0.02302,*,Wilcoxon
30,Mean_Orange_Norm,LN,C1TC,0.057671552,1,0.05767,ns,Wilcoxon
31,Mean_Orange_Norm,LN,C4LN,0.002674918,1,0.00267,**,Wilcoxon
32,Mean_Orange_Norm,LN,C1FN,0.031781361,1,0.03178,*,Wilcoxon
33,Mean_Orange_Norm,LN,C4TC,0.004863995,1,0.00486,**,Wilcoxon
34,Mean_Orange_Norm,LN,C4DN,0.001697722,1,0.0017,**,Wilcoxon
35,Mean_Orange_Norm,LN,TCOPN,0.026242035,1,0.02624,*,Wilcoxon
