"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","Mean_Orange_Norm","LN","C1DN",0.0681220892364243,1,"0.06812","ns","Wilcoxon"
"2","Mean_Orange_Norm","LN","C1C4",0.0983976172937687,1,"0.09840","ns","Wilcoxon"
"3","Mean_Orange_Norm","LN","HAFN",0.0359891674935642,1,"0.03599","*","Wilcoxon"
"4","Mean_Orange_Norm","LN","HAG3",0.0142288423830032,1,"0.01423","*","Wilcoxon"
"5","Mean_Orange_Norm","LN","LNG3",0.502440101163289,1,"0.50244","ns","Wilcoxon"
"6","Mean_Orange_Norm","LN","TCDN",0.0719235729625051,1,"0.07192","ns","Wilcoxon"
"7","Mean_Orange_Norm","LN","C4OPN",0.0245857075231968,1,"0.02459","*","Wilcoxon"
"8","Mean_Orange_Norm","LN","C1",0.113502327528441,1,"0.11350","ns","Wilcoxon"
"9","Mean_Orange_Norm","LN","OPNG3",0.138195210155056,1,"0.13820","ns","Wilcoxon"
"10","Mean_Orange_Norm","LN","C4",0.977402191293698,1,"0.97740","ns","Wilcoxon"
"11","Mean_Orange_Norm","LN","HAOPN",0.0888437968053283,1,"0.08884","ns","Wilcoxon"
"12","Mean_Orange_Norm","LN","FN",0.127687899662593,1,"0.12769","ns","Wilcoxon"
"13","Mean_Orange_Norm","LN","OPNDN",0.061000739666083,1,"0.06100","ns","Wilcoxon"
"14","Mean_Orange_Norm","LN","OPNFN",0.173266484190858,1,"0.17327","ns","Wilcoxon"
"15","Mean_Orange_Norm","LN","LNDN",0.548629135719169,1,"0.54863","ns","Wilcoxon"
"16","Mean_Orange_Norm","LN","LNFN",0.0935257043047579,1,"0.09353","ns","Wilcoxon"
"17","Mean_Orange_Norm","LN","C1G3",0.131869478038465,1,"0.13187","ns","Wilcoxon"
"18","Mean_Orange_Norm","LN","C4HA",0.0406473829200572,1,"0.04065","*","Wilcoxon"
"19","Mean_Orange_Norm","LN","G3FN",0.0843472474176863,1,"0.08435","ns","Wilcoxon"
"20","Mean_Orange_Norm","LN","C4FN",0.00620362049094797,1,"0.00620","**","Wilcoxon"
"21","Mean_Orange_Norm","LN","C1OPN",0.0681220892364243,1,"0.06812","ns","Wilcoxon"
"22","Mean_Orange_Norm","LN","DNFN",0.0052792850719278,1,"0.00528","**","Wilcoxon"
"23","Mean_Orange_Norm","LN","C4G3",0.00318744629402242,1,"0.00319","**","Wilcoxon"
"24","Mean_Orange_Norm","LN","LNHA",0.00987121129002475,1,"0.00987","**","Wilcoxon"
"25","Mean_Orange_Norm","LN","G3",0.00555959049699795,1,"0.00556","**","Wilcoxon"
"26","Mean_Orange_Norm","LN","DNG3",0.00620362049094797,1,"0.00620","**","Wilcoxon"
"27","Mean_Orange_Norm","LN","C1LN",0.00915403579061835,1,"0.00915","**","Wilcoxon"
"28","Mean_Orange_Norm","LN","TCG3",0.0515581031345391,1,"0.05156","ns","Wilcoxon"
"29","Mean_Orange_Norm","LN","TCFN",0.0431560420347437,1,"0.04316","*","Wilcoxon"
"30","Mean_Orange_Norm","LN","C1TC",0.0163839380678272,1,"0.01638","*","Wilcoxon"
"31","Mean_Orange_Norm","LN","C4LN",0.0106363270256584,1,"0.01064","*","Wilcoxon"
"32","Mean_Orange_Norm","LN","C1FN",0.0142288423830032,1,"0.01423","*","Wilcoxon"
"33","Mean_Orange_Norm","LN","C4TC",0.0175617534564614,1,"0.01756","*","Wilcoxon"
"34","Mean_Orange_Norm","LN","C4DN",0.00127735679642975,1,"0.00128","**","Wilcoxon"
"35","Mean_Orange_Norm","LN","TCOPN",0.0106363270256584,1,"0.01064","*","Wilcoxon"
"36","Mean_Orange_Norm","LN","TCHA",0.205663926813061,1,"0.20566","ns","Wilcoxon"
"37","Mean_Orange_Norm","LN","C1HA",0.00267491787250954,1,"0.00267","**","Wilcoxon"
"38","Mean_Orange_Norm","LN","LNTC",0.00411825700355136,1,"0.00412","**","Wilcoxon"
"39","Mean_Orange_Norm","LN","HA",0.932300503373326,1,"0.93230","ns","Wilcoxon"
"40","Mean_Orange_Norm","LN","HADN",0.00620362049094797,1,"0.00620","**","Wilcoxon"
"41","Mean_Orange_Norm","LN","LNOPN",0.0576715518803613,1,"0.05767","ns","Wilcoxon"
"42","Mean_Orange_Norm","LN","TC",0.0887337860685552,1,"0.08873","ns","Wilcoxon"
"43","Mean_Orange_Norm","LN","DN",0.00555959049699795,1,"0.00556","**","Wilcoxon"
"44","Mean_Orange_Norm","LN","OPN",0.0120939768267807,1,"0.01209","*","Wilcoxon"
