,Metadata_Stiffness,ConditionStiff,Mean_Red_Norm,Mean_Green_Norm,Rank_Red,Rank_Green,Difference in Rank
1,1kPa,C1100_1kPa,0.09150574,0.150027024,68,83,15
2,1kPa,C1C425/75_1kPa,0.069764024,0.130362927,108,106,2
3,1kPa,C1C450/50_1kPa,0.108199134,0.185985479,19,19,0
4,1kPa,C1C475/25_1kPa,0.064838524,0.121525731,115,116,1
5,1kPa,C1DN25/75_1kPa,0.112579577,0.197116333,10,8,2
6,1kPa,C1DN50/50_1kPa,0.088727159,0.142986693,77,95,18
7,1kPa,C1DN75/25_1kPa,0.117838838,0.203310027,4,6,2
8,1kPa,C1FN25/75_1kPa,0.101440317,0.172352784,35,42,7
9,1kPa,C1FN50/50_1kPa,0.1077454,0.182740181,21,22,1
10,1kPa,C1FN75/25_1kPa,0.086847769,0.143701316,80,92,12
11,1kPa,C1G325/75_1kPa,0.090444977,0.162084244,72,61,11
12,1kPa,C1G350/50_1kPa,0.093962425,0.174533347,62,36,26
13,1kPa,C1G375/25_1kPa,0.104079264,0.169532133,28,48,20
14,1kPa,C1HA25/75_1kPa,0.10482459,0.179546447,27,30,3
15,1kPa,C1HA50/50_1kPa,0.136951134,0.160367582,1,63,62
16,1kPa,C1HA75/25_1kPa,0.112241433,0.18660221,11,17,6
17,1kPa,C1LN25/75_1kPa,0.101051778,0.1788438,37,32,5
18,1kPa,C1LN50/50_1kPa,0.082074794,0.140554822,90,97,7
19,1kPa,C1LN75/25_1kPa,0.105346259,0.15935006,26,64,38
20,1kPa,C1OPN25/75_1kPa,0.079465914,0.140522702,95,98,3
21,1kPa,C1OPN50/50_1kPa,0.109736255,0.179726757,14,28,14
22,1kPa,C1OPN75/25_1kPa,0.079513044,0.145918515,94,88,6
23,1kPa,C1TC25/75_1kPa,0.097739086,0.165112762,53,55,2
24,1kPa,C1TC50/50_1kPa,0.089950029,0.155739817,74,74,0
25,1kPa,C1TC75/25_1kPa,0.116918357,0.188970886,5,14,9
26,1kPa,C4100_1kPa,0.096956835,0.170861682,54,44,10
27,1kPa,C4DN25/75_1kPa,0.091706753,0.153079608,67,79,12
28,1kPa,C4DN50/50_1kPa,0.091504997,0.178334114,69,34,35
29,1kPa,C4DN75/25_1kPa,0.098742265,0.155531892,45,75,30
30,1kPa,C4FN25/75_1kPa,0.082099729,0.143662545,89,93,4
31,1kPa,C4FN50/50_1kPa,0.101650407,0.156794306,34,72,38
32,1kPa,C4FN75/25_1kPa,0.103295858,0.164152878,30,58,28
33,1kPa,C4G325/75_1kPa,0.113868189,0.194288294,9,10,1
34,1kPa,C4G350/50_1kPa,0.074592641,0.125459747,102,110,8
35,1kPa,C4G375/25_1kPa,0.08378936,0.136260461,87,102,15
36,1kPa,C4HA25/75_1kPa,0.100833142,0.157679284,39,70,31
37,1kPa,C4HA50/50_1kPa,0.091799202,0.165557574,66,53,13
38,1kPa,C4HA75/25_1kPa,0.095885307,0.185465583,58,20,38
39,1kPa,C4LN25/75_1kPa,0.093011683,0.160935088,64,62,2
40,1kPa,C4LN50/50_1kPa,0.108528042,0.18640406,17,18,1
41,1kPa,C4LN75/25_1kPa,0.096802825,0.154302066,55,77,22
42,1kPa,C4OPN25/75_1kPa,0.096773302,0.166578368,56,52,4
43,1kPa,C4OPN50/50_1kPa,0.118117615,0.188718242,3,16,13
44,1kPa,C4OPN75/25_1kPa,0.067746251,0.14412114,112,91,21
45,1kPa,C4TC25/75_1kPa,0.115992944,0.202368599,6,7,1
46,1kPa,C4TC50/50_1kPa,0.111649004,0.194792963,12,9,3
47,1kPa,C4TC75/25_1kPa,0.105418854,0.179677513,25,29,4
48,1kPa,DN100_1kPa,0.066334586,0.122798303,113,113,0
49,1kPa,DNFN25/75_1kPa,0.079042193,0.157825201,96,68,28
50,1kPa,DNFN50/50_1kPa,0.08084508,0.1348065,92,103,11
51,1kPa,DNFN75/25_1kPa,0.071187902,0.128768456,107,109,2
52,1kPa,DNG325/75_1kPa,0.09441489,0.153973672,60,78,18
53,1kPa,DNG350/50_1kPa,0.084378682,0.142434565,85,96,11
54,1kPa,DNG375/25_1kPa,0.072075835,0.149832964,106,84,22
55,1kPa,FN100_1kPa,0.061421041,0.121743178,117,114,3
56,1kPa,G3100_1kPa,0.0846076,0.145600354,84,89,5
57,1kPa,G3FN25/75_1kPa,0.099075815,0.17212397,44,43,1
58,1kPa,G3FN50/50_1kPa,0.082549642,0.147784216,88,87,1
59,1kPa,G3FN75/25_1kPa,0.100746,0.173567634,40,40,0
60,1kPa,HA100_1kPa,0.078700425,0.130460777,97,105,8
61,1kPa,HADN25/75_1kPa,0.085783685,0.137661839,82,101,19
62,1kPa,HADN50/50_1kPa,0.069276886,0.139292798,109,99,10
63,1kPa,HADN75/25_1kPa,0.122889148,0.217184591,2,1,1
64,1kPa,HAFN25/75_1kPa,0.098504918,0.181108154,48,25,23
65,1kPa,HAFN50/50_1kPa,0.072269082,0.131750043,105,104,1
66,1kPa,HAFN75/25_1kPa,0.074936293,0.149115437,101,86,15
67,1kPa,HAG325/75_1kPa,0.111216466,0.189274178,13,13,0
68,1kPa,HAG350/50_1kPa,0.081776537,0.149430934,91,85,6
69,1kPa,HAG375/25_1kPa,0.085298273,0.156840687,83,71,12
70,1kPa,HAOPN25/75_1kPa,0.077304388,0.152466604,99,80,19
71,1kPa,HAOPN50/50_1kPa,0.089902266,0.158918352,75,65,10
72,1kPa,HAOPN75/25_1kPa,0.109410017,0.183229047,15,21,6
73,1kPa,LN100_1kPa,0.098506954,0.170017527,47,46,1
74,1kPa,LNDN25/75_1kPa,0.101795655,0.20571923,33,3,30
75,1kPa,LNDN50/50_1kPa,0.086447499,0.173138457,81,41,40
76,1kPa,LNDN75/25_1kPa,0.108328471,0.193938552,18,12,6
77,1kPa,LNFN25/75_1kPa,0.100939412,0.181094809,38,26,12
78,1kPa,LNFN50/50_1kPa,0.102474281,0.173592184,32,39,7
79,1kPa,LNFN75/25_1kPa,0.097863784,0.181192584,52,24,28
80,1kPa,LNG325/75_1kPa,0.10030941,0.165315427,41,54,13
81,1kPa,LNG350/50_1kPa,0.076418501,0.143034475,100,94,6
82,1kPa,LNG375/25_1kPa,0.105733953,0.156149634,24,73,49
83,1kPa,LNHA25/75_1kPa,0.102666968,0.173941695,31,37,6
84,1kPa,LNHA50/50_1kPa,0.0738594,0.129300672,103,108,5
85,1kPa,LNHA75/25_1kPa,0.098316675,0.203470148,49,5,44
86,1kPa,LNOPN25/75_1kPa,0.107778169,0.193996362,20,11,9
87,1kPa,LNOPN50/50_1kPa,0.098264712,0.177745799,50,35,15
88,1kPa,LNOPN75/25_1kPa,0.068075835,0.139219622,111,100,11
89,1kPa,LNTC25/75_1kPa,0.064885421,0.124362813,114,111,3
90,1kPa,LNTC50/50_1kPa,0.090744818,0.170256983,70,45,25
91,1kPa,LNTC75/25_1kPa,0.0906792,0.158793772,71,66,5
92,1kPa,OPN100_1kPa,0.115725845,0.182248632,7,23,16
93,1kPa,OPNDN25/75_1kPa,0.090112056,0.151692727,73,81,8
94,1kPa,OPNDN50/50_1kPa,0.072699491,0.122905213,104,112,8
95,1kPa,OPNDN75/25_1kPa,0.10881648,0.203769259,16,4,12
96,1kPa,OPNFN25/75_1kPa,0.087164853,0.166658968,79,51,28
97,1kPa,OPNFN50/50_1kPa,0.083835397,0.157742467,86,69,17
98,1kPa,OPNFN75/25_1kPa,0.11450802,0.21010646,8,2,6
99,1kPa,OPNG325/75_1kPa,0.103944208,0.14499089,29,90,61
100,1kPa,OPNG350/50_1kPa,0.106149377,0.178363858,23,33,10
101,1kPa,OPNG375/25_1kPa,0.101269181,0.165030139,36,56,20
102,1kPa,TC100_1kPa,0.068831897,0.117272093,110,117,7
103,1kPa,TCDN25/75_1kPa,0.093318973,0.167250604,63,50,13
104,1kPa,TCDN50/50_1kPa,0.077460583,0.129580963,98,107,9
105,1kPa,TCDN75/25_1kPa,0.099452835,0.180067933,43,27,16
106,1kPa,TCFN25/75_1kPa,0.09465264,0.164840105,59,57,2
107,1kPa,TCFN50/50_1kPa,0.099594533,0.169651374,42,47,5
108,1kPa,TCFN75/25_1kPa,0.080497496,0.167696555,93,49,44
109,1kPa,TCG325/75_1kPa,0.062893744,0.121735524,116,115,1
110,1kPa,TCG350/50_1kPa,0.093981641,0.158762855,61,67,6
111,1kPa,TCG375/25_1kPa,0.107407405,0.188866563,22,15,7
112,1kPa,TCHA25/75_1kPa,0.092303951,0.1739193,65,38,27
113,1kPa,TCHA50/50_1kPa,0.088688836,0.163773375,78,59,19
114,1kPa,TCHA75/25_1kPa,0.098648321,0.179137175,46,31,15
115,1kPa,TCOPN25/75_1kPa,0.098067707,0.163650919,51,60,9
116,1kPa,TCOPN50/50_1kPa,0.089273799,0.155290184,76,76,0
117,1kPa,TCOPN75/25_1kPa,0.096497295,0.151285191,57,82,25
118,25kPa,C1100_25kPa,0.073162985,0.124393723,78,108,30
119,25kPa,C1C425/75_25kPa,0.06341678,0.135730574,107,94,13
120,25kPa,C1C450/50_25kPa,0.084375393,0.141381,42,78,36
121,25kPa,C1C475/25_25kPa,0.083018039,0.140206066,48,84,36
122,25kPa,C1DN25/75_25kPa,0.099341295,0.177865355,5,16,11
123,25kPa,C1DN50/50_25kPa,0.092633305,0.161643183,15,30,15
124,25kPa,C1DN75/25_25kPa,0.091874889,0.160397949,17,31,14
125,25kPa,C1FN25/75_25kPa,0.104813787,0.180133856,3,12,9
126,25kPa,C1FN50/50_25kPa,0.093119561,0.165347282,14,25,11
127,25kPa,C1FN75/25_25kPa,0.065772689,0.138042718,102,88,14
128,25kPa,C1G325/75_25kPa,0.094154851,0.173647572,12,18,6
129,25kPa,C1G350/50_25kPa,0.09037583,0.162077569,23,29,6
130,25kPa,C1G375/25_25kPa,0.072550961,0.134274845,81,99,18
131,25kPa,C1HA25/75_25kPa,0.086669493,0.156733002,33,39,6
132,25kPa,C1HA50/50_25kPa,0.061952236,0.135392525,112,95,17
133,25kPa,C1HA75/25_25kPa,0.084429987,0.152324372,41,52,11
134,25kPa,C1LN25/75_25kPa,0.097208611,0.179640727,8,15,7
135,25kPa,C1LN50/50_25kPa,0.086426834,0.14324645,35,74,39
136,25kPa,C1LN75/25_25kPa,0.08665575,0.14207808,34,77,43
137,25kPa,C1OPN25/75_25kPa,0.077491292,0.132322943,63,101,38
138,25kPa,C1OPN50/50_25kPa,0.106409051,0.172667184,2,20,18
139,25kPa,C1OPN75/25_25kPa,0.08068506,0.180051652,54,13,41
140,25kPa,C1TC25/75_25kPa,0.095602592,0.199951361,10,2,8
141,25kPa,C1TC50/50_25kPa,0.096432243,0.182073808,9,10,1
142,25kPa,C1TC75/25_25kPa,0.090811677,0.162429522,21,28,7
143,25kPa,C4100_25kPa,0.08742594,0.140752414,29,80,51
144,25kPa,C4DN25/75_25kPa,0.063348602,0.112070072,109,116,7
145,25kPa,C4DN50/50_25kPa,0.075970956,0.139581804,68,86,18
146,25kPa,C4DN75/25_25kPa,0.0863766,0.137328266,37,92,55
147,25kPa,C4FN25/75_25kPa,0.078969485,0.154437732,57,44,13
148,25kPa,C4FN50/50_25kPa,0.07631157,0.133839087,66,100,34
149,25kPa,C4FN75/25_25kPa,0.08632276,0.144795824,38,71,33
150,25kPa,C4G325/75_25kPa,0.086045159,0.138501916,39,87,48
151,25kPa,C4G350/50_25kPa,0.081348356,0.143749651,51,72,21
152,25kPa,C4G375/25_25kPa,0.057900066,0.09767893,114,117,3
153,25kPa,C4HA25/75_25kPa,0.06987866,0.13780267,92,89,3
154,25kPa,C4HA50/50_25kPa,0.075431568,0.147949748,70,63,7
155,25kPa,C4HA75/25_25kPa,0.079118689,0.157029368,56,35,21
156,25kPa,C4LN25/75_25kPa,0.072427028,0.137467721,83,90,7
157,25kPa,C4LN50/50_25kPa,0.087157789,0.140348315,30,82,52
158,25kPa,C4LN75/25_25kPa,0.066195224,0.11572986,101,115,14
159,25kPa,C4OPN25/75_25kPa,0.079790909,0.134670988,55,97,42
160,25kPa,C4OPN50/50_25kPa,0.078314165,0.135148255,61,96,35
161,25kPa,C4OPN75/25_25kPa,0.072030271,0.124900026,87,107,20
162,25kPa,C4TC25/75_25kPa,0.089076348,0.146912826,26,66,40
163,25kPa,C4TC50/50_25kPa,0.081025405,0.147559917,52,64,12
164,25kPa,C4TC75/25_25kPa,0.082773197,0.145540321,49,70,21
