,Metadata_Stiffness,ConditionStiff,Mean_Red_Norm,Mean_Orange_Norm,Rank_Red,Rank_Orange,Difference in Rank
190,25kPa,LN100_25kPa,0.061872686,0.192274139,113,1,112
212,25kPa,OPNDN75/25_25kPa,0.056572766,0.162132834,116,5,111
15,1kPa,C1HA50/50_1kPa,0.136951134,0.084034402,1,106,105
54,1kPa,DNG375/25_1kPa,0.072075835,0.144213331,106,9,97
198,25kPa,LNG350/50_25kPa,0.062977832,0.139663756,111,19,92
186,25kPa,HAG375/25_25kPa,0.067134088,0.152042049,98,10,88
162,25kPa,C4TC25/75_25kPa,0.089076348,0.083969073,26,109,83
113,1kPa,TCHA50/50_1kPa,0.088688836,0.163050792,78,4,74
233,25kPa,TCOPN50/50_25kPa,0.065523877,0.127064299,103,29,74
135,25kPa,C1LN50/50_25kPa,0.086426834,0.08412028,35,108,73
131,25kPa,C1HA25/75_25kPa,0.086669493,0.086942382,33,104,71
19,1kPa,C1LN75/25_1kPa,0.105346259,0.092069888,26,95,69
230,25kPa,TCHA50/50_25kPa,0.072603289,0.150019544,80,11,69
69,1kPa,HAG375/25_1kPa,0.085298273,0.13405766,83,17,66
221,25kPa,TCDN50/50_25kPa,0.074948607,0.159833253,73,7,66
116,1kPa,TCOPN50/50_1kPa,0.089273799,0.140157746,76,11,65
22,1kPa,C1OPN75/25_1kPa,0.079513044,0.123515036,94,32,62
45,1kPa,C4TC25/75_1kPa,0.115992944,0.108983889,6,67,61
49,1kPa,DNFN25/75_1kPa,0.079042193,0.120829534,96,35,61
126,25kPa,C1FN50/50_25kPa,0.093119561,0.100613688,14,74,60
146,25kPa,C4DN75/25_25kPa,0.0863766,0.090265956,37,97,60
81,1kPa,LNG350/50_1kPa,0.076418501,0.119322331,100,41,59
104,1kPa,TCDN50/50_1kPa,0.077460583,0.119727063,98,39,59
33,1kPa,C4G325/75_1kPa,0.113868189,0.109257423,9,66,57
46,1kPa,C4TC50/50_1kPa,0.111649004,0.108184802,12,68,56
41,1kPa,C4LN75/25_1kPa,0.096802825,0.080026583,55,110,55
121,25kPa,C1C475/25_25kPa,0.083018039,0.08797075,48,103,55
129,25kPa,C1G350/50_25kPa,0.09037583,0.099287147,23,78,55
122,25kPa,C1DN25/75_25kPa,0.099341295,0.105998459,5,59,54
187,25kPa,HAOPN25/75_25kPa,0.071311417,0.121594421,88,34,54
28,1kPa,C4DN50/50_1kPa,0.091504997,0.134186965,69,16,53
9,1kPa,C1FN50/50_1kPa,0.1077454,0.106141079,21,73,52
136,25kPa,C1LN75/25_25kPa,0.08665575,0.096053362,34,85,51
14,1kPa,C1HA25/75_1kPa,0.10482459,0.104667324,27,77,50
202,25kPa,LNHA75/25_25kPa,0.076652267,0.144722745,65,15,50
92,1kPa,OPN100_1kPa,0.115725845,0.113616068,7,56,49
203,25kPa,LNOPN25/75_25kPa,0.081383339,0.090189828,50,98,48
227,25kPa,TCG350/50_25kPa,0.085112888,0.093347357,40,88,48
26,1kPa,C4100_1kPa,0.096956835,0.147536118,54,7,47
78,1kPa,LNFN50/50_1kPa,0.102474281,0.104350066,32,78,46
134,25kPa,C1LN25/75_25kPa,0.097208611,0.107039568,8,54,46
171,25kPa,DNG375/25_25kPa,0.078620133,0.146792471,59,13,46
5,1kPa,C1DN25/75_1kPa,0.112579577,0.113700187,10,55,45
31,1kPa,C4FN50/50_1kPa,0.101650407,0.103948571,34,79,45
109,1kPa,TCG325/75_1kPa,0.062893744,0.106835846,116,71,45
159,25kPa,C4OPN25/75_25kPa,0.079790909,0.089767118,55,100,45
229,25kPa,TCHA25/75_25kPa,0.067815059,0.109698187,95,50,45
27,1kPa,C4DN25/75_1kPa,0.091706753,0.078596775,67,111,44
189,25kPa,HAOPN75/25_25kPa,0.073220305,0.121677972,77,33,44
11,1kPa,C1G325/75_1kPa,0.090444977,0.124138811,72,29,43
43,1kPa,C4OPN50/50_1kPa,0.118117615,0.117042946,3,46,43
97,1kPa,OPNFN50/50_1kPa,0.083835397,0.118954056,86,43,43
119,25kPa,C1C425/75_25kPa,0.06341678,0.10346573,107,64,43
163,25kPa,C4TC50/50_25kPa,0.081025405,0.090846738,52,95,43
196,25kPa,LNFN75/25_25kPa,0.090975499,0.103767298,20,63,43
226,25kPa,TCG325/75_25kPa,0.06747508,0.107271989,96,53,43
123,25kPa,C1DN50/50_25kPa,0.092633305,0.10658005,15,57,42
150,25kPa,C4G325/75_25kPa,0.086045159,0.097914503,39,81,42
197,25kPa,LNG325/75_25kPa,0.083428932,0.165424266,46,4,42
215,25kPa,OPNFN75/25_25kPa,0.07204932,0.111909422,86,44,42
29,1kPa,C4DN75/25_1kPa,0.098742265,0.096498186,45,86,41
73,1kPa,LN100_1kPa,0.098506954,0.151516821,47,6,41
177,25kPa,HA100_25kPa,0.076084567,0.131418979,67,26,41
174,25kPa,G3FN25/75_25kPa,0.072199368,0.111610963,85,45,40
17,1kPa,C1LN25/75_1kPa,0.101051778,0.104859947,37,76,39
107,1kPa,TCFN50/50_1kPa,0.099594533,0.103523379,42,81,39
