"","Metadata_ECMs","Metadata_Ratio","Metadata_Stiffness","Metadata_Experiment","Metadata_Slide","Metadata_Block","Metadata_Row","Metadata_Column","Metadata_Treatment","Abb_ECMs","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Percent_Positive","SD_Percent_Positive","Mean_Blue","SD_Blue","Mean_Green","SD_Green","Mean_Blue_Area","SD_Blue_Area","Mean_Compactness","SD_Compactness","Mean_Eccentricity","SD_Eccentricity","Mean_Form_Factor","SD_Form_Factor","Mean_MeanRadius","SD_MeanRadius","Mean_Solidity","SD_Solidity","Mean_Neighbors","SD_Neightbors","CollagenI","CollagenIV","Laminin","Hyaluronic_Acid","TenascinC","Osteopontin","Galectin3","Fibronectin","Decorin","Replicate","Conditions","ControlMean","FOC","Condition"
"1","Collagen I","100","1kPa","BAA3DPe1",6,"4",4,10,"10 uM","C1",9,1.73205080756888,2.18559278566667,0.183859347317291,0,0,0.117010174,0.0259281987060669,0.0110975466666667,0.00531903700814537,55.4128787866667,25.9323816870402,0.917255433333333,0.116418561149325,0.519649521,0.172848303313984,1.10417258366667,0.123581941301118,1.74042366833333,0.271138362787604,0.955426275,0.0342830116480821,0.227272727333333,0.444300120801128,1,0,0,0,0,0,0,0,0,2,"C1 100",62.8888888888889,0.143109540636042,"Collagen I 100"
"2","Collagen I","100","1kPa","BAA3DPe1",9,"6",4,10,"20 uM","C1",31.6666666666667,21.548395145192,3.262692234,0.804536281782296,0,0,0.133659028666667,0.0263222524074178,0.0102042516666667,0.00291581278407074,51.81268238,17.7626008291299,0.930166682,0.113146206753442,0.541803369666667,0.173984181507891,1.08753611833333,0.10355373874669,1.699510115,0.200979199934619,0.946101350666667,0.0327790137430402,0.669360269333333,0.778650881135831,1,0,0,0,0,0,0,0,0,3,"C1 100",62.8888888888889,0.503533568904594,"Collagen I 100"
"3","Collagen I","100","1kPa","BAA3DPe1",16,"3",4,10,"DMSO","C1",73,6.92820323027551,4.28733270466667,0.0978136156628087,68.43822844,15.9626522237851,0.355367081666667,0.165812855137018,0.268040018333333,0.203118035978961,123.329537133333,77.1799944875653,1.15791199166667,0.20931564337369,0.671784284333333,0.154657447791731,0.887827645,0.138325351611891,2.153725663,0.429921214932509,0.911614801333333,0.0484776027018347,2.63163503133333,1.73551901192897,1,0,0,0,0,0,0,0,0,2,"C1 100",62.8888888888889,1.16077738515901,"Collagen I 100"
"4","Collagen I","100","1kPa","BAA3DPe1",18,"3",4,10,"DMSO","C1",7,6.92820323027551,1.635091593,0.929209411737189,53.3333333333333,50.3322295684717,0.218696671333333,0.0606651213039207,0.103657896,0.046615605572532,92.4444444333333,39.2687120465019,1.06355091433333,0.172179843299617,0.653219941333333,0.189343995139284,0.960355400333333,0.151998067627761,2.000117921,0.344860857821899,0.932633306,0.0297255516986905,1.311111111,0.5962847940065,1,0,0,0,0,0,0,0,0,3,"C1 100",62.8888888888889,0.1113074204947,"Collagen I 100"
"5","Collagen I","100","1kPa","BAA3DPe1",15,"4",4,10,"10 uM","C1",46.5,51.618795026618,3.3607128505,1.49641862537993,0,0,0.1155929945,0.047553003212611,0.008264047,0.00244194129093893,88.778915665,69.0846718527446,1.007705002,0.118613423273712,0.621881101,0.169228355295439,1.006129493,0.112360464601577,1.9524770055,0.497532284663632,0.9402077715,0.0314995165459002,1.13373494,1.33857696530283,1,0,0,0,0,0,0,0,0,3,"C1 100",62.8888888888889,0.739399293286219,"Collagen I 100"
"6","Collagen I","100","1kPa","BAA3DPe1",4,"4",4,10,"10 uM","C1",28,24.4335834457412,3.08548676933333,0.842546739931624,0,0,0.137298959666667,0.0341850754722241,0.0117639356666667,0.00813139373491984,72.7597084266667,47.6991324004317,0.983806980333333,0.12394829168407,0.598193227,0.138016875437826,1.03293328833333,0.115243296238562,1.84400489833333,0.349957795235063,0.938217469333333,0.0309507468207928,1.45008912666667,1.15071860063409,1,0,0,0,0,0,0,0,0,1,"C1 100",62.8888888888889,0.445229681978799,"Collagen I 100"
"7","Collagen I","100","1kPa","BAA3DPe1",1,"6",4,10,"20 uM","C1",28,22.8691932520585,3.110439433,0.808429331935303,9.147025813,9.09142867444086,0.200153775,0.0874972895348756,0.0324622146666667,0.0244947195776907,73.8624844933333,36.9385313687816,0.997979819666667,0.182871628637879,0.561982381666667,0.169252166395908,1.02617524333333,0.143929960143745,1.87867109066667,0.312151521303824,0.937989742333333,0.043960982519079,1.03969519733333,1.16835098272845,1,0,0,0,0,0,0,0,0,1,"C1 100",62.8888888888889,0.445229681978799,"Collagen I 100"
"8","Collagen I","100","1kPa","BAA3DPe1",8,"6",4,10,"20 uM","C1",13,10.4403065089106,2.36335894533333,0.754733126560201,0,0,0.181475099333333,0.0804220463795851,0.00760284566666667,0.0030731874034867,63.2183333333333,27.9458049782661,0.954162248333333,0.0939709479189641,0.545749528666667,0.197535147445042,1.05776343333333,0.0969229371149899,1.812488406,0.324615418691236,0.946826756,0.0297578248909834,0.601111111,0.826255657977885,1,0,0,0,0,0,0,0,0,2,"C1 100",62.8888888888889,0.206713780918728,"Collagen I 100"
"9","Collagen I","100","1kPa","BAA3DPe1",12,"3",4,10,"DMSO","C1",108.666666666667,136.661382011647,3.58837029433333,2.27928747665723,44.0198563566667,44.1673986566689,0.291256138,0.133148868539396,0.120787937333333,0.0858779047442447,92.84218421,49.7550872429306,1.16181099933333,0.235305668150808,0.657201512666667,0.220649092763541,0.889079452666667,0.151825328866602,1.947203304,0.445792231612919,0.911095431666667,0.0466373889200848,2.898817068,1.88563673708805,1,0,0,0,0,0,0,0,0,1,"C1 100",62.8888888888889,1.72791519434629,"Collagen I 100"
"10","Collagen I","100","1kPa","BAA3DPe2",15,"6",2,1,"20 uM","C1",96.6666666666667,48.9523577913601,4.49028860566667,0.484606201628191,2.28604659033333,0.514367439245604,0.150524756333333,0.0488504825274759,0.0350131533333333,0.0141174893265496,66.2692301166667,28.3284392223616,0.939972081666667,0.108163911412283,0.487167765,0.18286816556319,1.07619935333333,0.110494583199113,1.85643479133333,0.297978750612329,0.947505971666667,0.0415785831903276,0.445243660666667,0.686935404866602,1,0,0,0,0,0,0,0,0,3,"C1 100",589.555555555556,0.163965322276668,"Collagen I 100"
