,Metadata_Stiffness,ConditionStiff,Mean_Orange_Norm,Mean_Green_Norm,Rank_Orange,Rank_Green,Difference in Rank
1,1kPa,C1100_1kPa,0.093223863,0.150027024,92,83,9
2,1kPa,C1C425/75_1kPa,0.097201573,0.130362927,84,106,22
3,1kPa,C1C450/50_1kPa,0.121418631,0.185985479,34,19,15
4,1kPa,C1C475/25_1kPa,0.063611573,0.121525731,117,116,1
5,1kPa,C1DN25/75_1kPa,0.113700187,0.197116333,55,8,47
6,1kPa,C1DN50/50_1kPa,0.082351611,0.142986693,108,95,13
7,1kPa,C1DN75/25_1kPa,0.132592893,0.203310027,19,6,13
8,1kPa,C1FN25/75_1kPa,0.144205812,0.172352784,10,42,32
9,1kPa,C1FN50/50_1kPa,0.106141079,0.182740181,73,22,51
10,1kPa,C1FN75/25_1kPa,0.088764071,0.143701316,99,92,7
11,1kPa,C1G325/75_1kPa,0.124138811,0.162084244,29,61,32
12,1kPa,C1G350/50_1kPa,0.112631845,0.174533347,58,36,22
13,1kPa,C1G375/25_1kPa,0.115331376,0.169532133,51,48,3
14,1kPa,C1HA25/75_1kPa,0.104667324,0.179546447,77,30,47
15,1kPa,C1HA50/50_1kPa,0.084034402,0.160367582,106,63,43
16,1kPa,C1HA75/25_1kPa,0.129280247,0.18660221,22,17,5
17,1kPa,C1LN25/75_1kPa,0.104859947,0.1788438,76,32,44
18,1kPa,C1LN50/50_1kPa,0.070806845,0.140554822,116,97,19
19,1kPa,C1LN75/25_1kPa,0.092069888,0.15935006,95,64,31
20,1kPa,C1OPN25/75_1kPa,0.085810921,0.140522702,102,98,4
21,1kPa,C1OPN50/50_1kPa,0.127910938,0.179726757,24,28,4
22,1kPa,C1OPN75/25_1kPa,0.123515036,0.145918515,32,88,56
23,1kPa,C1TC25/75_1kPa,0.12574693,0.165112762,28,55,27
24,1kPa,C1TC50/50_1kPa,0.091997652,0.155739817,96,74,22
25,1kPa,C1TC75/25_1kPa,0.126100195,0.188970886,26,14,12
26,1kPa,C4100_1kPa,0.147536118,0.170861682,7,44,37
27,1kPa,C4DN25/75_1kPa,0.078596775,0.153079608,111,79,32
28,1kPa,C4DN50/50_1kPa,0.134186965,0.178334114,16,34,18
29,1kPa,C4DN75/25_1kPa,0.096498186,0.155531892,86,75,11
30,1kPa,C4FN25/75_1kPa,0.074369669,0.143662545,115,93,22
31,1kPa,C4FN50/50_1kPa,0.103948571,0.156794306,79,72,7
32,1kPa,C4FN75/25_1kPa,0.123633497,0.164152878,31,58,27
33,1kPa,C4G325/75_1kPa,0.109257423,0.194288294,66,10,56
34,1kPa,C4G350/50_1kPa,0.074593058,0.125459747,114,110,4
35,1kPa,C4G375/25_1kPa,0.085504973,0.136260461,104,102,2
36,1kPa,C4HA25/75_1kPa,0.123823405,0.157679284,30,70,40
37,1kPa,C4HA50/50_1kPa,0.120381086,0.165557574,36,53,17
38,1kPa,C4HA75/25_1kPa,0.114733,0.185465583,52,20,32
39,1kPa,C4LN25/75_1kPa,0.10361394,0.160935088,80,62,18
40,1kPa,C4LN50/50_1kPa,0.137339726,0.18640406,13,18,5
41,1kPa,C4LN75/25_1kPa,0.080026583,0.154302066,110,77,33
42,1kPa,C4OPN25/75_1kPa,0.096524387,0.166578368,85,52,33
43,1kPa,C4OPN50/50_1kPa,0.117042946,0.188718242,46,16,30
44,1kPa,C4OPN75/25_1kPa,0.077748986,0.14412114,112,91,21
45,1kPa,C4TC25/75_1kPa,0.108983889,0.202368599,67,7,60
46,1kPa,C4TC50/50_1kPa,0.108184802,0.194792963,68,9,59
47,1kPa,C4TC75/25_1kPa,0.110450754,0.179677513,63,29,34
48,1kPa,DN100_1kPa,0.088066038,0.122798303,100,113,13
49,1kPa,DNFN25/75_1kPa,0.120829534,0.157825201,35,68,33
50,1kPa,DNFN50/50_1kPa,0.099442735,0.1348065,83,103,20
51,1kPa,DNFN75/25_1kPa,0.081211893,0.128768456,109,109,0
52,1kPa,DNG325/75_1kPa,0.090347681,0.153973672,98,78,20
53,1kPa,DNG350/50_1kPa,0.095524064,0.142434565,88,96,8
54,1kPa,DNG375/25_1kPa,0.144213331,0.149832964,9,84,75
55,1kPa,FN100_1kPa,0.093186692,0.121743178,93,114,21
56,1kPa,G3100_1kPa,0.094831562,0.145600354,90,89,1
57,1kPa,G3FN25/75_1kPa,0.114160859,0.17212397,53,43,10
58,1kPa,G3FN50/50_1kPa,0.085646486,0.147784216,103,87,16
59,1kPa,G3FN75/25_1kPa,0.13238253,0.173567634,20,40,20
60,1kPa,HA100_1kPa,0.112188813,0.130460777,60,105,45
61,1kPa,HADN25/75_1kPa,0.095841122,0.137661839,87,101,14
62,1kPa,HADN50/50_1kPa,0.101165412,0.139292798,82,99,17
63,1kPa,HADN75/25_1kPa,0.136647223,0.217184591,14,1,13
64,1kPa,HAFN25/75_1kPa,0.139185158,0.181108154,12,25,13
65,1kPa,HAFN50/50_1kPa,0.084557049,0.131750043,105,104,1
66,1kPa,HAFN75/25_1kPa,0.094594938,0.149115437,91,86,5
67,1kPa,HAG325/75_1kPa,0.116628262,0.189274178,48,13,35
68,1kPa,HAG350/50_1kPa,0.106988697,0.149430934,70,85,15
69,1kPa,HAG375/25_1kPa,0.13405766,0.156840687,17,71,54
70,1kPa,HAOPN25/75_1kPa,0.110472861,0.152466604,62,80,18
71,1kPa,HAOPN50/50_1kPa,0.11202305,0.158918352,61,65,4
72,1kPa,HAOPN75/25_1kPa,0.134032303,0.183229047,18,21,3
73,1kPa,LN100_1kPa,0.151516821,0.170017527,6,46,40
74,1kPa,LNDN25/75_1kPa,0.175100462,0.20571923,1,3,2
75,1kPa,LNDN50/50_1kPa,0.117033447,0.173138457,47,41,6
76,1kPa,LNDN75/25_1kPa,0.157932231,0.193938552,5,12,7
77,1kPa,LNFN25/75_1kPa,0.117328143,0.181094809,44,26,18
78,1kPa,LNFN50/50_1kPa,0.104350066,0.173592184,78,39,39
79,1kPa,LNFN75/25_1kPa,0.119350934,0.181192584,40,24,16
80,1kPa,LNG325/75_1kPa,0.116060535,0.165315427,49,54,5
81,1kPa,LNG350/50_1kPa,0.119322331,0.143034475,41,94,53
82,1kPa,LNG375/25_1kPa,0.128771895,0.156149634,23,73,50
83,1kPa,LNHA25/75_1kPa,0.112198603,0.173941695,59,37,22
84,1kPa,LNHA50/50_1kPa,0.086232197,0.129300672,101,108,7
85,1kPa,LNHA75/25_1kPa,0.135895146,0.203470148,15,5,10
86,1kPa,LNOPN25/75_1kPa,0.121455564,0.193996362,33,11,22
87,1kPa,LNOPN50/50_1kPa,0.110311272,0.177745799,64,35,29
88,1kPa,LNOPN75/25_1kPa,0.095303743,0.139219622,89,100,11
89,1kPa,LNTC25/75_1kPa,0.083555808,0.124362813,107,111,4
90,1kPa,LNTC50/50_1kPa,0.109397665,0.170256983,65,45,20
91,1kPa,LNTC75/25_1kPa,0.117297559,0.158793772,45,66,21
92,1kPa,OPN100_1kPa,0.113616068,0.182248632,56,23,33
93,1kPa,OPNDN25/75_1kPa,0.120180317,0.151692727,38,81,43
94,1kPa,OPNDN50/50_1kPa,0.090699238,0.122905213,97,112,15
95,1kPa,OPNDN75/25_1kPa,0.169147621,0.203769259,2,4,2
96,1kPa,OPNFN25/75_1kPa,0.114151222,0.166658968,54,51,3
97,1kPa,OPNFN50/50_1kPa,0.118954056,0.157742467,43,69,26
98,1kPa,OPNFN75/25_1kPa,0.147027261,0.21010646,8,2,6
99,1kPa,OPNG325/75_1kPa,0.127165424,0.14499089,25,90,65
100,1kPa,OPNG350/50_1kPa,0.165203865,0.178363858,3,33,30
101,1kPa,OPNG375/25_1kPa,0.132365478,0.165030139,21,56,35
102,1kPa,TC100_1kPa,0.076430159,0.117272093,113,117,4
103,1kPa,TCDN25/75_1kPa,0.106564948,0.167250604,72,50,22
104,1kPa,TCDN50/50_1kPa,0.119727063,0.129580963,39,107,68
105,1kPa,TCDN75/25_1kPa,0.105772028,0.180067933,74,27,47
106,1kPa,TCFN25/75_1kPa,0.125825996,0.164840105,27,57,30
107,1kPa,TCFN50/50_1kPa,0.103523379,0.169651374,81,47,34
108,1kPa,TCFN75/25_1kPa,0.104995112,0.167696555,75,49,26
109,1kPa,TCG325/75_1kPa,0.106835846,0.121735524,71,115,44
110,1kPa,TCG350/50_1kPa,0.093143382,0.158762855,94,67,27
111,1kPa,TCG375/25_1kPa,0.116003915,0.188866563,50,15,35
112,1kPa,TCHA25/75_1kPa,0.119252144,0.1739193,42,38,4
113,1kPa,TCHA50/50_1kPa,0.163050792,0.163773375,4,59,55
114,1kPa,TCHA75/25_1kPa,0.1202177,0.179137175,37,31,6
115,1kPa,TCOPN25/75_1kPa,0.107065825,0.163650919,69,60,9
116,1kPa,TCOPN50/50_1kPa,0.140157746,0.155290184,11,76,65
117,1kPa,TCOPN75/25_1kPa,0.113156359,0.151285191,57,82,25
118,25kPa,C1100_25kPa,0.096117198,0.124393723,84,108,24
119,25kPa,C1C425/75_25kPa,0.10346573,0.135730574,64,94,30
120,25kPa,C1C450/50_25kPa,0.119478145,0.141381,39,78,39
121,25kPa,C1C475/25_25kPa,0.08797075,0.140206066,103,84,19
122,25kPa,C1DN25/75_25kPa,0.105998459,0.177865355,59,16,43
123,25kPa,C1DN50/50_25kPa,0.10658005,0.161643183,57,30,27
124,25kPa,C1DN75/25_25kPa,0.132421427,0.160397949,25,31,6
125,25kPa,C1FN25/75_25kPa,0.14473564,0.180133856,14,12,2
126,25kPa,C1FN50/50_25kPa,0.100613688,0.165347282,74,25,49
127,25kPa,C1FN75/25_25kPa,0.084520198,0.138042718,107,88,19
128,25kPa,C1G325/75_25kPa,0.129183254,0.173647572,27,18,9
129,25kPa,C1G350/50_25kPa,0.099287147,0.162077569,78,29,49
130,25kPa,C1G375/25_25kPa,0.106940426,0.134274845,55,99,44
131,25kPa,C1HA25/75_25kPa,0.086942382,0.156733002,104,39,65
132,25kPa,C1HA50/50_25kPa,0.08632967,0.135392525,106,95,11
133,25kPa,C1HA75/25_25kPa,0.099772431,0.152324372,77,52,25
134,25kPa,C1LN25/75_25kPa,0.107039568,0.179640727,54,15,39
135,25kPa,C1LN50/50_25kPa,0.08412028,0.14324645,108,74,34
136,25kPa,C1LN75/25_25kPa,0.096053362,0.14207808,85,77,8
137,25kPa,C1OPN25/75_25kPa,0.0884559,0.132322943,102,101,1
138,25kPa,C1OPN50/50_25kPa,0.152783529,0.172667184,9,20,11
139,25kPa,C1OPN75/25_25kPa,0.143194938,0.180051652,17,13,4
140,25kPa,C1TC25/75_25kPa,0.13915337,0.199951361,21,2,19
141,25kPa,C1TC50/50_25kPa,0.110274707,0.182073808,48,10,38
142,25kPa,C1TC75/25_25kPa,0.106061297,0.162429522,58,28,30
143,25kPa,C4100_25kPa,0.127700696,0.140752414,28,80,52
144,25kPa,C4DN25/75_25kPa,0.063625573,0.112070072,117,116,1
145,25kPa,C4DN50/50_25kPa,0.101063353,0.139581804,73,86,13
146,25kPa,C4DN75/25_25kPa,0.090265956,0.137328266,97,92,5
147,25kPa,C4FN25/75_25kPa,0.093312138,0.154437732,89,44,45
148,25kPa,C4FN50/50_25kPa,0.098033144,0.133839087,80,100,20
149,25kPa,C4FN75/25_25kPa,0.11725414,0.144795824,40,71,31
150,25kPa,C4G325/75_25kPa,0.097914503,0.138501916,81,87,6
151,25kPa,C4G350/50_25kPa,0.097502061,0.143749651,83,72,11
152,25kPa,C4G375/25_25kPa,0.074907758,0.09767893,115,117,2
153,25kPa,C4HA25/75_25kPa,0.095480017,0.13780267,86,89,3
154,25kPa,C4HA50/50_25kPa,0.121975192,0.147949748,32,63,31
155,25kPa,C4HA75/25_25kPa,0.109603638,0.157029368,51,35,16
156,25kPa,C4LN25/75_25kPa,0.090706696,0.137467721,96,90,6
157,25kPa,C4LN50/50_25kPa,0.106901571,0.140348315,56,82,26
158,25kPa,C4LN75/25_25kPa,0.06661278,0.11572986,116,115,1
159,25kPa,C4OPN25/75_25kPa,0.089767118,0.134670988,100,97,3
160,25kPa,C4OPN50/50_25kPa,0.10310724,0.135148255,66,96,30
161,25kPa,C4OPN75/25_25kPa,0.083732604,0.124900026,110,107,3
162,25kPa,C4TC25/75_25kPa,0.083969073,0.146912826,109,66,43
163,25kPa,C4TC50/50_25kPa,0.090846738,0.147559917,95,64,31
164,25kPa,C4TC75/25_25kPa,0.101414043,0.145540321,71,70,1
165,25kPa,DN100_25kPa,0.091123005,0.150437932,94,59,35
166,25kPa,DNFN25/75_25kPa,0.077225251,0.123748599,114,109,5
167,25kPa,DNFN50/50_25kPa,0.125958278,0.142720451,30,75,45
168,25kPa,DNFN75/25_25kPa,0.086612389,0.140647097,105,81,24
169,25kPa,DNG325/75_25kPa,0.080352535,0.121775298,111,111,0
170,25kPa,DNG350/50_25kPa,0.107814854,0.156905968,52,36,16
171,25kPa,DNG375/25_25kPa,0.146792471,0.147426172,13,65,52
172,25kPa,FN100_25kPa,0.135832758,0.14940401,22,60,38
173,25kPa,G3100_25kPa,0.092432789,0.120656849,91,112,21
174,25kPa,G3FN25/75_25kPa,0.111610963,0.154098937,45,45,0
175,25kPa,G3FN50/50_25kPa,0.080004089,0.123553202,112,110,2
176,25kPa,G3FN75/25_25kPa,0.135336162,0.16359712,23,27,4
177,25kPa,HA100_25kPa,0.131418979,0.152191346,26,53,27
178,25kPa,HADN25/75_25kPa,0.098927266,0.13740305,79,91,12
179,25kPa,HADN50/50_25kPa,0.139273678,0.165986373,20,24,4
180,25kPa,HADN75/25_25kPa,0.125958029,0.163971838,31,26,5
181,25kPa,HAFN25/75_25kPa,0.167602143,0.189393383,3,5,2
182,25kPa,HAFN50/50_25kPa,0.089811858,0.128510709,99,104,5
183,25kPa,HAFN75/25_25kPa,0.101209184,0.151043785,72,57,15
184,25kPa,HAG325/75_25kPa,0.120250917,0.142435186,38,76,38
185,25kPa,HAG350/50_25kPa,0.104731218,0.146766841,62,67,5
186,25kPa,HAG375/25_25kPa,0.152042049,0.156030575,10,41,31
187,25kPa,HAOPN25/75_25kPa,0.121594421,0.146060859,34,69,35
188,25kPa,HAOPN50/50_25kPa,0.120802492,0.169051051,37,21,16
189,25kPa,HAOPN75/25_25kPa,0.121677972,0.155353692,33,43,10
190,25kPa,LN100_25kPa,0.192274139,0.157147976,1,34,33
191,25kPa,LNDN25/75_25kPa,0.161496197,0.185483548,6,7,1
192,25kPa,LNDN50/50_25kPa,0.110590383,0.152757466,47,50,3
193,25kPa,LNDN75/25_25kPa,0.143909617,0.182800503,16,8,8
194,25kPa,LNFN25/75_25kPa,0.111198808,0.15346217,46,47,1
195,25kPa,LNFN50/50_25kPa,0.101522697,0.134513127,69,98,29
196,25kPa,LNFN75/25_25kPa,0.103767298,0.151294486,63,55,8
197,25kPa,LNG325/75_25kPa,0.165424266,0.191644772,4,4,0
198,25kPa,LNG350/50_25kPa,0.139663756,0.15255876,19,51,32
199,25kPa,LNG375/25_25kPa,0.149810547,0.180147536,12,11,1
200,25kPa,LNHA25/75_25kPa,0.100507844,0.158886276,76,32,44
201,25kPa,LNHA50/50_25kPa,0.100519692,0.158766307,75,33,42
202,25kPa,LNHA75/25_25kPa,0.144722745,0.182212908,15,9,6
203,25kPa,LNOPN25/75_25kPa,0.090189828,0.150607666,98,58,40
204,25kPa,LNOPN50/50_25kPa,0.097746147,0.152956126,82,48,34
