"","Vim p_value","Vim psig","Ecad p_value","Ecad psig","PXR p_value","PXR psig"
"Metadata_Stiffness",0.453467841800792,"",0.189576030933877,"",0.645832821529928,""
"CollagenI",0.0886844126907387,"",2.42017761387103e-08,"***",0.00824863548287147,"**"
"CollagenIV",2.44249065417534e-15,"***",0.298996918809949,"",0.0126248207894926,"*"
"Hyaluronic_Acid",0.0400675615528839,"*",0.00655998614123399,"**",0.000682924698933496,"***"
"TenascinC",0.00339642691717068,"**",0.245333022286628,"",0.488642011421563,""
"Laminin",2.31367813796624e-08,"***",8.41627511407594e-05,"***",1.06613893047225e-07,"***"
"Fibronectin",0.0305708643949505,"*",0.728737049352409,"",0.414110611899209,""
"Galectin3",0.25255347341,"",0.268000787641061,"",0.746320626815254,""
"Osteopontin",0.000130380594180024,"***",0.0298028148093101,"*",0.117959439437619,""
"Decorin",0.163825078967095,"",0.0755731677134635,"",0.0789008899721995,""
"Abb_ECM",6.037266686576e-09,"***",0.00995609394460795,"**",0.00327500257200697,"**"
"Metadata_Stiffness:CollagenI",0.824181627958244,"",0.738270707148323,"",0.478489110835597,""
"Metadata_Stiffness:CollagenIV",0.323227900479512,"",0.456242197461331,"",0.0147584531152811,"*"
"Metadata_Stiffness:Hyaluronic_Acid",0.274035856118867,"",0.453036961174535,"",0.50891060921819,""
"Metadata_Stiffness:TenascinC",0.197954142129678,"",0.685076713922785,"",0.662485571433547,""
"Metadata_Stiffness:Laminin",0.950844113699707,"",0.0299422675648793,"*",0.126778971368117,""
"Metadata_Stiffness:Fibronectin",0.650054707799879,"",0.00754428206464874,"**",0.382339560829632,""
"Metadata_Stiffness:Galectin3",0.368330665724441,"",0.35027641036431,"",0.281631250056619,""
"Metadata_Stiffness:Osteopontin",0.778666888935021,"",0.224981732698827,"",0.259011579057036,""
"Metadata_Stiffness:Decorin",0.284172551293305,"",0.000686231789946978,"***",0.000939032535488771,"***"
"Metadata_Stiffness:Abb_ECM",0.975057252487112,"",0.395945206167593,"",0.76397461598946,""
"CollagenI:Abb_ECM",0.467675315309061,"",0.0302330382217455,"*",0.119424706641187,""
"CollagenIV:Abb_ECM",0.411672547057433,"",0.141382523136162,"",0.085681810962792,""
"Hyaluronic_Acid:Abb_ECM",0.000225418437174163,"***",0.00482326183762827,"**",0.0974696507940608,""
"TenascinC:Abb_ECM",0.0219365192040061,"*",0.37978135136196,"",0.388038834896791,""
"Laminin:Abb_ECM",0.792901081011654,"",0.881030842606617,"",0.916786077425321,""
"Fibronectin:Abb_ECM",0.000638095572345732,"***",0.235201549523201,"",0.249005056510146,""
"Galectin3:Abb_ECM",0.000653430422018042,"***",0.694076998049875,"",0.320946486067283,""
"Metadata_Stiffness:CollagenI:Abb_ECM",0.99929977819629,"",0.634557762297458,"",0.906004064555972,""
"Metadata_Stiffness:CollagenIV:Abb_ECM",0.991684587787693,"",0.412489360544712,"",0.803701263315829,""
"Metadata_Stiffness:Hyaluronic_Acid:Abb_ECM",0.904328245314909,"",0.392728584815703,"",0.738728306061673,""
"Metadata_Stiffness:TenascinC:Abb_ECM",0.983609064922763,"",0.281403356397308,"",0.154442983186861,""
"Metadata_Stiffness:Laminin:Abb_ECM",0.968668969585309,"",0.136946608295582,"",0.128173720712364,""
"Metadata_Stiffness:Fibronectin:Abb_ECM",0.645179263404571,"",0.151223978249711,"",0.346787288109191,""
"Metadata_Stiffness:Galectin3:Abb_ECM",0.0347967490978403,"*",0.158121108742521,"",0.0853643683300064,""
