"","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"1","1kPa","E1","02","10 uM","02","100","Laminin","LN",37.2777777777778,65.5841274835442,2.69840584692785,1.50683938797179,0.103490009377533,0.044389370994786,0.089342093401488,0.0398926043118064,0.0202468675721943,0.0269676314076889,0.0224490357162034,0.0233580784540382,0.187067874064502,0.112175658899634,0.14958499643482,0.0930860381963038
"2","1kPa","E1","02","10 uM","03","75/25","Collagen IDecorin","C1DN",151.222222222222,60.1276420070946,4.7198213130613,0.451357149038096,0.137183004941808,0.0430597833414428,0.117901118304128,0.0400363491514743,0.0519755117662162,0.0328241030532291,0.0489198450721992,0.0289875388070878,0.185957365792014,0.0699210799659364,0.150433301232653,0.0549458438173575
"3","1kPa","E1","02","10 uM","04","50/50","Collagen ICollagen IV","C1C4",151.666666666667,83.1658316591348,4.53531656967717,1.61235996144038,0.130594813837982,0.0412448596028574,0.111228917908114,0.0388473632553666,0.0459538732654687,0.0292478892347605,0.0436213920936231,0.0257431055167825,0.174569547858988,0.0681463336869821,0.141617530698869,0.0540344321342746
"4","1kPa","E1","02","10 uM","05","25/75","Hyaluronic AcidFibronectin","HAFN",10.3333333333333,10.354816378006,1.71673513523855,1.30876136539781,0.148347839047245,NA,0.129199996686511,NA,0.0374868640600164,NA,0.0367663644307128,NA,0.279571133527006,NA,0.225522123918313,NA
"5","1kPa","E1","02","10 uM","06","75/25","Hyaluronic AcidGalectin 3","HAG3",9.66666666666667,NA,1.87510770388734,NA,0.133334942624246,0.0874490117361015,0.118420955029971,0.0870290609949056,0.0289524614378966,0.0496839525808568,0.0280856652982533,0.0439733299173957,0.217868931253858,0.0884088740290151,0.175281155065608,0.071900552956056
"6","1kPa","E1","02","10 uM","07","25/75","LamininGalectin 3","LNG3",5.33333333333333,NA,1.15691455667753,NA,0.105494341067783,NA,0.0905962141785346,NA,0.0260261877082923,NA,0.0266201121975808,NA,0.172508983356648,NA,0.140408782523831,NA
"7","1kPa","E1","02","10 uM","08","50/50","Tenascin CDecorin","TCDN",6.77777777777778,NA,1.56764659179034,NA,0.100282074434868,0.0689689496640114,0.0898817714831742,0.0644306925825632,0.0356350293075185,0.038672120346917,0.033467091451639,0.0344375282367969,0.186201456838197,0.0811764948211413,0.148146802122134,0.0646022994814507
"8","1kPa","E1","02","10 uM","09","75/25","LamininGalectin 3","LNG3",12.5555555555556,19.8354340624158,1.91367233580522,0.807570570907374,0.139174390476648,0.0722831339739127,0.121835136174334,0.0690184010925195,0.0471746055859158,0.0650318028522119,0.0451818183350432,0.0573849226859605,0.239364440721501,0.163062330650414,0.195328907895168,0.143797943673485
"9","1kPa","E1","02","10 uM","10","50/50","Collagen IVOsteopontin","C4OPN",142.888888888889,39.2951792350043,4.85688461698596,0.289574681232727,0.147945549467445,0.0486038808162272,0.127504997735394,0.0464276659810104,0.052832067240661,0.0350730146612927,0.0497240173154655,0.0309207494615048,0.177466271122591,0.0691226372621985,0.144052723009304,0.0546193009616668
"10","1kPa","E1","02","10 uM","11","100","Collagen I","C1",144.222222222222,88.5594589966412,4.43856556081134,1.83712527378971,0.144551630559268,NA,0.125414876654804,NA,0.0527429819725554,NA,0.0492479359954448,NA,0.175381671690639,NA,0.14204064756013,NA
