"","Metadata_Stiffness","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Mean_Nuclei","SD_Nuclei","Mean_logNuclei","SD_logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"1","1kPa","E1","02","10 uM","02","100","Laminin","LN",14.6111111111111,15.2879763939582,2.22059017324229,1.36463475046697,0.121763796436605,NA,0.104866002016567,NA,0.0302113324540125,NA,0.0313815241245912,NA,0.313001111802468,NA,0.23669948646267,NA
"2","1kPa","E1","02","10 uM","03","75/25","Collagen IDecorin","C1DN",151.777777777778,64.0312423743285,4.71111281403035,0.464627888187412,0.133563824339374,0.0453417588754305,0.114282108182649,0.0416977894709168,0.0518194710114815,0.0330721949035072,0.0486803330943803,0.0290169314606882,0.188713372871989,0.0751801263796932,0.151094060090555,0.057245078593475
"3","1kPa","E1","02","10 uM","04","50/50","Collagen ICollagen IV","C1C4",194,44.9407016708314,5.13110448290757,0.401164122470505,0.130357340866104,0.0422143519401858,0.111022841961818,0.0388372608920571,0.049077616762398,0.0303581066608839,0.0462705428061119,0.0265210259040369,0.177262833342765,0.0682882080124238,0.142257479866544,0.0521014233240835
"4","1kPa","E1","02","10 uM","05","25/75","Hyaluronic AcidFibronectin","HAFN",11.5555555555556,10.5198225587063,1.83191429664656,1.08816990730852,0.162865109123468,NA,0.142140490302315,NA,0.0429714856915144,NA,0.041516068534556,NA,0.275591799525245,NA,0.213786780792255,NA
"5","1kPa","E1","02","10 uM","06","75/25","Hyaluronic AcidGalectin 3","HAG3",10,NA,1.42871087017443,NA,0.133529749224576,NA,0.119377479032374,NA,0.0318738078455589,NA,0.0307666456115627,NA,0.191878338587471,NA,0.149072186336292,NA
"6","1kPa","E1","02","10 uM","07","25/75","LamininGalectin 3","LNG3",5.27777777777778,5.9113826169894,1.04701710800851,1.28208260107265,0.110111490265284,NA,0.0951212982704184,NA,0.0261007487131932,NA,0.026442383510227,NA,0.194781123346207,NA,0.155210316962778,NA
"7","1kPa","E1","02","10 uM","08","50/50","Tenascin CDecorin","TCDN",5.61111111111111,5.50252467307306,1.14964720124982,1.15075698043813,0.104180097736918,NA,0.0907450466763364,NA,0.0262104363401001,NA,0.0265870037773346,NA,0.208666361319697,NA,0.164330317770497,NA
"8","1kPa","E1","02","10 uM","09","75/25","LamininGalectin 3","LNG3",14.8333333333333,18.7216452268491,2.29680141793825,0.675691757912448,0.162454044536473,0.0797077251726744,0.142694187484047,0.0746865222627784,0.0586048600040281,0.0625245714743495,0.0549644455935473,0.0549661691706548,0.248304787206663,0.148288737573328,0.194512336247853,0.109184626435795
"9","1kPa","E1","02","10 uM","10","50/50","Collagen IVOsteopontin","C4OPN",146.444444444444,35.582455102355,4.87752557899008,0.266821633394925,0.151784802211935,0.0487177399885078,0.13072260433205,0.0459078437523205,0.053164449811091,0.0370448443568708,0.049935726656851,0.0324727675442209,0.183252102548866,0.0740253148409388,0.146984812281302,0.0560875486536626
"10","1kPa","E1","02","10 uM","11","100","Collagen I","C1",176.777777777778,44.0189353195493,5.07349050988945,0.31550787364878,0.153247308197114,0.0490650500083017,0.132227248611966,0.0461920704002511,0.0567877906361523,0.0365290943415371,0.0530381599899132,0.031987742106632,0.18077046542471,0.0679785112872453,0.145024502054391,0.052269607372034
"11","1kPa","E1","02","10 uM","12","50/50","OsteopontinGalectin 3","OPNG3",8.44444444444444,NA,1.89232662774071,NA,0.147206296934685,NA,0.13066507157213,NA,0.0338228964357533,NA,0.0332699113181593,NA,0.215859928181783,NA,0.169350529221796,NA
"12","1kPa","E1","02","DMSO","02","100","Laminin","LN",17.7777777777778,17.4100864762675,2.60993197718489,0.818182143214094,0.195390981124612,0.0967635717676698,0.174955072433048,0.0941084134802871,0.118722275265622,0.0800717253203112,0.107843327427356,0.0726814000577169,0.233218381521514,0.0857732102153191,0.1845572608161,0.0617343555694454
"13","1kPa","E1","02","DMSO","03","75/25","Collagen IDecorin","C1DN",190.222222222222,61.2581060395729,5.19782661061899,0.35721571653542,0.186567943105896,0.0618537666903302,0.163520527454307,0.0587594175872475,0.10763835786303,0.0665873134854517,0.097819069786135,0.0596858900894319,0.14977684695188,0.0494298249863038,0.119326651986391,0.0382783309857499
"14","1kPa","E1","02","DMSO","04","50/50","Collagen ICollagen IV","C1C4",246.555555555556,45.9468291736341,5.45897758871475,0.207787658255297,0.153480703541121,0.0541042129745538,0.132779116180667,0.0512355207348762,0.083090452386836,0.0519482173967681,0.0761004786313203,0.0460530640329775,0.118585929267836,0.0420702449031625,0.0944979308645348,0.0333292588957888
"15","1kPa","E1","02","DMSO","05","25/75","Hyaluronic AcidFibronectin","HAFN",8.88888888888889,4.42216638714053,2.04283171612545,0.526180544520049,0.141986304393417,0.070895434318301,0.124551350895219,0.0662357018217948,0.066664124147899,0.0509348414002567,0.0620182453777737,0.0445154597482593,0.174717923877393,0.0624586408047684,0.14047886575792,0.0490699258396674
"16","1kPa","E1","02","DMSO","06","75/25","Hyaluronic AcidGalectin 3","HAG3",23.6666666666667,25.269656815152,2.41166216847045,1.24321439440934,0.169504274277688,NA,0.148353363665272,NA,0.0865801749816419,NA,0.0797196267640523,NA,0.21148170416585,NA,0.166940785589311,NA
"17","1kPa","E1","02","DMSO","07","25/75","LamininGalectin 3","LNG3",118.555555555556,320.5041168049,2.66694620561595,2.02532196137129,0.173150471293497,0.0801054934438217,0.153737501110949,0.07685163807119,0.0949593736766068,0.0541549075431582,0.0867585840681057,0.0476818087635622,0.148960910519721,0.0575899890189223,0.119616101110196,0.0453928836143691
"18","1kPa","E1","02","DMSO","08","50/50","Tenascin CDecorin","TCDN",14,24.101636643367,1.83123749813103,1.14737737916237,0.131023024111397,NA,0.114984883759917,NA,0.0800834745728903,NA,0.0741834865329876,NA,0.150055271144194,NA,0.120288741922905,NA
"19","1kPa","E1","02","DMSO","09","75/25","LamininGalectin 3","LNG3",19,16.3774913287177,2.70428482920379,0.604797558710645,0.169665310743576,0.0649504142606999,0.148329982191262,0.0607127362677097,0.0880378975106812,0.0575451802073259,0.0807558504607016,0.0502019216180388,0.1906227402717,0.0916658543669903,0.151935308579156,0.0661276689964931
"20","1kPa","E1","02","DMSO","10","50/50","Collagen IVOsteopontin","C4OPN",250.111111111111,107.293988648013,5.19832595511359,1.19108835860787,0.179629588221868,0.0639147451080224,0.157133692536699,0.0609574749019071,0.120520892919516,0.0837724004040402,0.109287630503839,0.0750869290604191,0.136886684628413,0.0450227473818504,0.109619519255336,0.0365167650115691
"21","1kPa","E1","02","DMSO","11","100","Collagen I","C1",260.222222222222,53.1716298623827,5.48438998828082,0.250531581264435,0.192220843269122,0.0643423906777209,0.169088982276962,0.0621552475498114,0.120050999573773,0.0715254134235744,0.10867040845575,0.0640182850586175,0.142330177008624,0.045675747111291,0.114308454693416,0.0359333872030894
"22","1kPa","E1","02","DMSO","12","50/50","OsteopontinGalectin 3","OPNG3",88.7777777777778,180.168439707588,3.00888389761015,1.78021724887054,0.158610141539019,0.0652515868883131,0.140929012947685,0.0616042779646145,0.0836253264775151,0.0526515423355593,0.0764729788695495,0.0468276257010972,0.137999541321326,0.0608290376027552,0.111397817185119,0.0477205261532721
"23","1kPa","E1","03","10 uM","02","100","Collagen IV","C4",162.777777777778,31.3209195267317,5.05778593472866,0.226079137470446,0.125583493407524,0.0357682091106334,0.106648601941995,0.0324949504547926,0.0469307339985158,0.0280665963757143,0.0444475662999825,0.0244485617678757,0.167525920987494,0.056488084173675,0.134782161336923,0.0441168782783394
