"","Metadata_Slide","Metadata_Stiffness","Metadata_Scene","Metadata_Experiment","Metadata_Row","Metadata_Treatment","Metadata_Column","Metadata_Ratio","Metadata_ECMs","Abb_ECM","Nuclei","logNuclei","Mean_Green","SD_Green","Mean_Green_Norm","SD_Green_Norm","Mean_Red","SD_Red","Mean_Red_Norm","SD_Red_Norm","Mean_Orange","SD_Orange","Mean_Orange_Norm","SD_Orange_Norm"
"1","01","1kPa",1,"E1","02","DMSO","02","100","Laminin","LN",11,2.39789527279837,0.144758941817094,0.0496027619426705,0.124362033458747,0.044523260560461,0.124472700023435,0.0541978921113434,0.112257070166404,0.0478400334510734,0.256458914232995,0.0395642904626969,0.206109633518854,0.0298423389289254
"2","01","1kPa",1,"E1","02","DMSO","03","75/25","Collagen IDecorin","C1DN",224,5.41164605185504,0.184440810652453,0.0672920593034469,0.161213367976234,0.0638890552552327,0.154123334937305,0.0786716586633104,0.138641968913528,0.0706736052825917,0.196824843593411,0.0775118086276824,0.158241912049589,0.0596982093761427
"3","01","1kPa",1,"E1","02","DMSO","04","50/50","Collagen ICollagen IV","C1C4",321,5.77144112313002,0.141618758265038,0.0542937263407264,0.121443878030415,0.0505411576650628,0.111668109604907,0.0686585561267821,0.10115426732114,0.0609909475911154,0.152865839157424,0.0562216953151128,0.123226135257358,0.0442865763988444
"4","01","1kPa",1,"E1","02","DMSO","05","25/75","Hyaluronic AcidFibronectin","HAFN",6,1.79175946922805,0.145970075853423,0.0615704791103422,0.125809812913049,0.0555125241707773,0.0887500078710969,0.0512497243808399,0.0811400836838772,0.0443442845575689,0.236213877885437,0.0512432101279117,0.190319517645323,0.0397243791379345
"5","01","1kPa",1,"E1","02","DMSO","06","75/25","Hyaluronic AcidGalectin 3","HAG3",51,3.93182563272433,0.20357673963842,0.123793736779534,0.182785634685826,0.121899788317645,0.170814734229996,0.0882358805308235,0.153476177976284,0.078964988751014,0.217675722157551,0.062658767841809,0.17547120568341,0.0484034438628985
"6","01","1kPa",1,"E1","02","DMSO","07","25/75","LamininGalectin 3","LNG3",12,2.484906649788,0.191624799292396,0.0925729522462709,0.169665369769786,0.0864838540335787,0.128872696829895,0.0615193081259184,0.116070029738231,0.0539215891395817,0.253665336086707,0.0707015960168152,0.203027001061955,0.05413187496696
"7","01","1kPa",1,"E1","02","DMSO","08","50/50","Tenascin CDecorin","TCDN",13,2.56494935746154,0.192098703865862,0.157497314037033,0.175856465948604,0.152182565392907,0.194501201426183,0.22389645767611,0.178076607906881,0.20480772017291,0.24856603080954,0.0911014102825292,0.198261757746219,0.0682737857201337
"8","01","1kPa",1,"E1","02","DMSO","09","75/25","LamininGalectin 3","LNG3",16,2.77258872223978,0.171880481855302,0.0510773858370913,0.149215763208731,0.046212366144964,0.0998389920311082,0.036480337259522,0.0906308877153865,0.0317817394895274,0.218644085525964,0.037308953241119,0.177133391001542,0.0287378202978724
"9","01","1kPa",1,"E1","02","DMSO","10","50/50","Collagen IVOsteopontin","C4OPN",241,5.48479693349065,0.186120611856411,0.0570834992779251,0.162351045083265,0.0542185476913265,0.135153061378241,0.0822474402224381,0.122034408833372,0.0740284881906688,0.176537193952402,0.0541003844831465,0.142887760812681,0.0423160071720884
"10","01","1kPa",1,"E1","02","DMSO","11","100","Collagen I","C1",320,5.76832099579377,0.171695740758916,0.0621424178921391,0.149187093537082,0.0585521489936172,0.132081154606682,0.0695373907887817,0.119052721266269,0.0615483068412778,0.189932291229328,0.0787907850013454,0.153065762991721,0.058127704433828
"11","01","1kPa",1,"E1","02","DMSO","12","50/50","OsteopontinGalectin 3","OPNG3",12,2.484906649788,0.136119057885316,0.058343534315151,0.117066523554487,0.0523992600368542,0.100066135395575,0.0579601746482384,0.0909566044126235,0.0504471294048154,0.170499598812104,0.0517414372302975,0.138065206191303,0.0431207765811244
"12","01","1kPa",1,"E1","03","DMSO","02","100","Collagen IV","C4",319,5.76519110278484,0.13130898827313,0.0407583909946231,0.111788185653221,0.03683609092566,0.102325775688676,0.0701809389670249,0.09298404868052,0.0622284989088731,0.186270814663974,0.0604306862320161,0.15049040949037,0.0475188412320516
