"","npar","Sum Sq","Mean Sq","F value","p_value","psig"
"Metadata_Stiffness",1,0.00173545638649284,0.00173545638649284,2.19413103556146,0.138807024999028,"ns"
"CollagenI",4,0.0155603078415092,0.0038900769603773,4.91820978960779,0.000619413803167213,"***"
"CollagenIV",4,0.00369923518407297,0.000924808796018244,1.16923231093381,0.322684008850952,"ns"
"Hyaluronic_Acid",4,0.00416507964581656,0.00104126991145414,1.31647366473723,0.261781869259839,"ns"
"TenascinC",4,0.00188289314716032,0.000470723286790079,0.595133695520199,0.666217960964305,"ns"
"Laminin",4,0.00722978785597596,0.00180744696399399,2.28514845414522,0.058341037846113,"."
"Fibronectin",4,0.00221830672035961,0.000554576680089902,0.701149227865611,0.591205943465274,"ns"
"Galectin3",4,0.00453865921965642,0.0011346648049141,1.43455248014186,0.220316776363714,"ns"
"Osteopontin",4,0.00787986797791936,0.00196996699447984,2.49062192242985,0.0416455887161123,"*"
"Decorin",2,0.00205711827624745,0.00102855913812373,1.30040348143139,0.272815970730616,"ns"
"Abb_ECM",28,0.0363542601998338,0.00129836643570835,1.6415198412886,0.0192527718190545,"*"
"Metadata_Stiffness:CollagenI",4,0.00229341033397487,0.000573352583493717,0.724887532498128,0.574963410673205,"ns"
"Metadata_Stiffness:CollagenIV",4,0.00164145730320447,0.000410364325801117,0.518822086302659,0.72192594623627,"ns"
"Metadata_Stiffness:Hyaluronic_Acid",4,0.00617344936850448,0.00154336234212612,1.95126725184904,0.0997489388048727,"."
"Metadata_Stiffness:TenascinC",4,0.00222972469169029,0.000557431172922574,0.704758152505665,0.588721811942399,"ns"
"Metadata_Stiffness:Laminin",4,0.00464617268909618,0.00116154317227405,1.46853469972898,0.20950412114713,"ns"
"Metadata_Stiffness:Fibronectin",4,0.00667849396047124,0.00166962349011781,2.11089875025509,0.0773365427615045,"."
"Metadata_Stiffness:Galectin3",4,0.00153716900881236,0.000384292252203089,0.485859260910958,0.746153095744535,"ns"
"Metadata_Stiffness:Osteopontin",4,0.00830532596132733,0.00207633149033183,2.6250981577574,0.0333186925222564,"*"
"Metadata_Stiffness:Decorin",2,0.0100955343882233,0.00504776719411163,6.38187323351387,0.00175154840068137,"**"
"Metadata_Stiffness:Abb_ECM",28,0.024985869252801,0.000892352473314321,1.12819790321309,0.294679279668951,"ns"
"CollagenI:Abb_ECM",13,0.015118419539326,0.00116295534917892,1.47032010972189,0.121607295873976,"ns"
"CollagenIV:Abb_ECM",12,0.0131431164676921,0.00109525970564101,1.38473276012619,0.166493346969473,"ns"
"Hyaluronic_Acid:Abb_ECM",10,0.010832182532845,0.0010832182532845,1.36950879683084,0.188976245281253,"ns"
"TenascinC:Abb_ECM",8,0.0107344803114795,0.00134181003893493,1.69644542678758,0.0949305232647809,"."
"Laminin:Abb_ECM",6,0.00238854888462766,0.000398091480771276,0.503305574113592,0.80619437297277,"ns"
"Fibronectin:Abb_ECM",4,0.00257945792719484,0.000644864481798711,0.815299758759828,0.515384039395315,"ns"
"Galectin3:Abb_ECM",1,6.61433626225109e-05,6.61433626225109e-05,0.0836248066249208,0.77249530631381,"ns"
"Metadata_Stiffness:CollagenI:Abb_ECM",13,0.00940915029086059,0.000723780791604661,0.915073354861048,0.536567815637107,"ns"
"Metadata_Stiffness:CollagenIV:Abb_ECM",12,0.00800628833856482,0.000667190694880402,0.843526706674142,0.605277618840253,"ns"
"Metadata_Stiffness:Hyaluronic_Acid:Abb_ECM",10,0.00745644473893419,0.000745644473893419,0.942715526819264,0.492629753181591,"ns"
"Metadata_Stiffness:TenascinC:Abb_ECM",8,0.00707692043891097,0.000884615054863871,1.11841551392956,0.347715938419643,"ns"
"Metadata_Stiffness:Laminin:Abb_ECM",6,0.00784087056587923,0.00130681176097987,1.65219723452526,0.129438355840532,"ns"
"Metadata_Stiffness:Fibronectin:Abb_ECM",4,0.00376411827025792,0.000941029567564479,1.18974017189036,0.31355351433049,"ns"
"Metadata_Stiffness:Galectin3:Abb_ECM",1,9.00589888343136e-05,9.00589888343136e-05,0.113861243630548,0.735850901321678,"ns"
