"","Abb_ECM","Metadata_Ratio","Mean_Green","Mean_Orange","Mean_Red"
"1","C1","100",0.137210373398095,0.09467053088167,0.0823343624913684
"2","C1C4","25/75",0.133046750306386,0.100333651685835,0.0665904017938099
"3","C1C4","50/50",0.163683239337716,0.120448388283089,0.096287263455076
"4","C1C4","75/25",0.130865898877208,0.0757911611750295,0.0739282815558829
"5","C1DN","25/75",0.187490844139262,0.109849322907933,0.105960436352502
"6","C1DN","50/50",0.152314938173561,0.0944658305198181,0.0906802321186502
"7","C1DN","75/25",0.181853987927453,0.132507159806934,0.104856863591535
"8","C1FN","25/75",0.176243320199736,0.144470726021319,0.103127052204568
"9","C1FN","50/50",0.17404373178032,0.103377383687167,0.100432480489827
"10","C1FN","75/25",0.140872017149158,0.0866421345395266,0.0763102292232723
"11","C1G3","25/75",0.167865908078372,0.126661032319306,0.0922999139883839
"12","C1G3","50/50",0.168305457927296,0.105959495972964,0.0921691274667444
"13","C1G3","75/25",0.151903489037705,0.111135901359747,0.0883151125348685
"14","C1HA","25/75",0.168139724445428,0.0958048531682774,0.0957470416461716
"15","C1HA","50/50",0.147880053633242,0.0851820361530362,0.0994516851021404
"16","C1HA","75/25",0.169463290876098,0.114526339169313,0.0983357096854028
"17","C1LN","25/75",0.179242263783108,0.105949757461351,0.0991301942411031
"18","C1LN","50/50",0.141900635674222,0.0774635621541408,0.0842508141120721
"19","C1LN","75/25",0.150714069846714,0.094061624981994,0.0960010048542412
"20","C1OPN","25/75",0.136422822591925,0.087133410236073,0.0784786029348497
"21","C1OPN","50/50",0.176196970430877,0.140347233690248,0.108072653297362
"22","C1OPN","75/25",0.162985083447442,0.13335498673789,0.080099051829889
"23","C1TC","25/75",0.182532061429339,0.132450150040355,0.0966708388679204
"24","C1TC","50/50",0.168906812414603,0.101136179456269,0.0931911359902799
"25","C1TC","75/25",0.175700203760208,0.116080745998346,0.103865016781744
"26","C4","100",0.155807047973958,0.13761840699903,0.0921913878526983
"27","C4DN","25/75",0.13257484008897,0.0711111741003033,0.0775276772462679
"28","C4DN","50/50",0.158957959195587,0.11762515901425,0.0837379762234036
"29","C4DN","75/25",0.146430079348274,0.0933820710895292,0.0925594324987614
"30","C4FN","25/75",0.149050138432342,0.0838409038597756,0.0805346073543507
"31","C4FN","50/50",0.145316696514966,0.100990857456072,0.0889809886749727
"32","C4FN","75/25",0.154474351055576,0.120443818504864,0.0948093088606179
"33","C4G3","25/75",0.166395105103888,0.103585962839377,0.0999566736629544
