"","npar","Sum Sq","Mean Sq","F value","p_value","psig"
"Metadata_Stiffness",1,0.000361326831616997,0.000361326831616997,0.199268979752831,0.655394298797348,"ns"
"CollagenI",4,0.0161706496021725,0.00404266240054313,2.22949734575833,0.0638638390048973,"."
"CollagenIV",4,0.0235848618274191,0.00589621545685476,3.25171765748008,0.0115424790202737,"*"
"Hyaluronic_Acid",4,0.0178592923528658,0.00446482308821646,2.46231573111861,0.0436374212151629,"*"
"TenascinC",4,0.00703289192483219,0.00175822298120805,0.969646505562272,0.423120949102468,"ns"
"Laminin",4,0.0354343430956583,0.00885858577391457,4.88544219459472,0.000656728128792139,"***"
"Fibronectin",4,0.0108601641469089,0.00271504103672723,1.49732433363593,0.200714247117979,"ns"
"Galectin3",4,0.0101047381720924,0.0025261845430231,1.39317142406178,0.234144509404383,"ns"
"Osteopontin",4,0.00930014969177261,0.00232503742294315,1.28224032819167,0.274996051270617,"ns"
"Decorin",2,0.00662744096923987,0.00331372048461993,1.82749146306468,0.161276005711055,"ns"
"Abb_ECM",28,0.0969231875897381,0.00346154241391922,1.909014124708,0.00306213565362778,"**"
"Metadata_Stiffness:CollagenI",4,0.00604351384206389,0.00151087846051597,0.833237897142049,0.504027298673337,"ns"
"Metadata_Stiffness:CollagenIV",4,0.0201478007457127,0.00503695018642817,2.77783944309814,0.0258070976821795,"*"
"Metadata_Stiffness:Hyaluronic_Acid",4,0.0104503732913794,0.00261259332284486,1.44082520421344,0.218284595499833,"ns"
"Metadata_Stiffness:TenascinC",4,0.00741611159063388,0.00185402789765847,1.02248218308709,0.394455343764574,"ns"
"Metadata_Stiffness:Laminin",4,0.00350415374632819,0.000876038436582047,0.483128487028634,0.748159688231085,"ns"
"Metadata_Stiffness:Fibronectin",4,0.0051328395172604,0.0012832098793151,0.70768041862697,0.586714151733847,"ns"
"Metadata_Stiffness:Galectin3",4,0.00797963554018419,0.00199490888504605,1.10017696843603,0.355033972136302,"ns"
"Metadata_Stiffness:Osteopontin",4,0.0185983423368154,0.00464958558420384,2.56421083231336,0.0368680861977722,"*"
"Metadata_Stiffness:Decorin",2,0.0227524956580439,0.011376247829022,6.27391353185609,0.00194897315788789,"**"
"Metadata_Stiffness:Abb_ECM",28,0.0444893705758309,0.00158890609199396,0.8762695381845,0.652168784800734,"ns"
"CollagenI:Abb_ECM",13,0.0404082931569934,0.00310833024284564,1.71422031808386,0.0526553487441697,"."
"CollagenIV:Abb_ECM",12,0.0268041055758343,0.00223367546465286,1.23185490805762,0.255265473742883,"ns"
"Hyaluronic_Acid:Abb_ECM",10,0.0305899764020756,0.00305899764020756,1.68701376563313,0.0787519380313142,"."
"TenascinC:Abb_ECM",8,0.0213267464761742,0.00266584330952177,1.47019216395311,0.163533302477993,"ns"
"Laminin:Abb_ECM",6,0.00603763042207297,0.00100627173701216,0.55495115458536,0.766346274545562,"ns"
"Fibronectin:Abb_ECM",4,0.0105833392943734,0.00264583482359334,1.45915763723525,0.21243987476651,"ns"
"Galectin3:Abb_ECM",1,0.00725853968093086,0.00725853968093086,4.0030290312005,0.0456496682481575,"*"
"Metadata_Stiffness:CollagenI:Abb_ECM",13,0.0153596416295003,0.00118151089457695,0.651594207591993,0.810997377741636,"ns"
"Metadata_Stiffness:CollagenIV:Abb_ECM",12,0.0199750482289303,0.00166458735241086,0.918007173560745,0.527949290014964,"ns"
"Metadata_Stiffness:Hyaluronic_Acid:Abb_ECM",10,0.0205683986340408,0.00205683986340408,1.13433142858855,0.332602039265128,"ns"
"Metadata_Stiffness:TenascinC:Abb_ECM",8,0.0144370705274005,0.00180463381592506,0.995241725386242,0.437851266498149,"ns"
"Metadata_Stiffness:Laminin:Abb_ECM",6,0.0088827913820971,0.00148046523034952,0.816465233680727,0.557101698798719,"ns"
"Metadata_Stiffness:Fibronectin:Abb_ECM",4,0.00932191452967,0.0023304786324175,1.28524111353529,0.273815442458386,"ns"
"Metadata_Stiffness:Galectin3:Abb_ECM",1,0.00209263682851009,0.00209263682851009,1.15407318062783,0.282919988378808,"ns"
